fips_county,gov,state,county,pop
48003,Republican,TX,"Andrews County, Texas",17760
48051,Republican,TX,"Burleson County, Texas",17760
51570,Democratic,VA,"Colonial Heights city, Virginia",17772
47075,Republican,TN,"Haywood County, Tennessee",17853
29143,Republican,MO,"New Madrid County, Missouri",17915
51141,Democratic,VA,"Patrick County, Virginia",17923
13231,Republican,GA,"Pike County, Georgia",17941
2050,Independent,AK,"Bethel Census Area, Alaska",17968
28051,Republican,MS,"Holmes County, Mississippi",17999
28131,Republican,MS,"Stone County, Mississippi",18012
29186,Republican,MO,"Ste. Genevieve County, Missouri",18030
47049,Republican,TN,"Fentress County, Tennessee",18033
51175,Democratic,VA,"Southampton County, Virginia",18057
5053,Republican,AR,"Grant County, Arkansas",18082
21213,Republican,KY,"Simpson County, Kentucky",18083
19101,Republican,IA,"Jefferson County, Iowa",18090
48035,Republican,TX,"Bosque County, Texas",18097
46005,Republican,SD,"Beadle County, South Dakota",18101
35028,Republican,NM,"Los Alamos County, New Mexico",18147
48503,Republican,TX,"Young County, Texas",18152
28159,Republican,MS,"Winston County, Mississippi",18160
13211,Republican,GA,"Morgan County, Georgia",18170
5001,Republican,AR,"Arkansas County, Arkansas",18214
12079,Republican,FL,"Madison County, Florida",18224
21215,Republican,KY,"Spencer County, Kentucky",18274
48133,Republican,TX,"Eastland County, Texas",18274
29229,Republican,MO,"Wright County, Missouri",18286
42093,Democratic,PA,"Montour County, Pennsylvania",18343
47085,Republican,TN,"Humphreys County, Tennessee",18347
13025,Republican,GA,"Brantley County, Georgia",18355
13011,Republican,GA,"Banks County, Georgia",18397
13001,Republican,GA,"Appling County, Georgia",18428
13183,Republican,GA,"Long County, Georgia",18437
29163,Republican,MO,"Pike County, Missouri",18438
19031,Republican,IA,"Cedar County, Iowa",18454
13171,Republican,GA,"Lamar County, Georgia",18469
17067,Republican,IL,"Hancock County, Illinois",18508
19157,Republican,IA,"Poweshiek County, Iowa",18533
21099,Republican,KY,"Hart County, Kentucky",18627
21097,Republican,KY,"Harrison County, Kentucky",18646
5043,Republican,AR,"Drew County, Arkansas",18651
55047,Republican,WI,"Green Lake County, Wisconsin",18719
48117,Republican,TX,"Deaf Smith County, Texas",18830
29015,Republican,MO,"Benton County, Missouri",18839
39125,Republican,OH,"Paulding County, Ohio",18865
20087,Republican,KS,"Jefferson County, Kansas",18897
28007,Republican,MS,"Attala County, Mississippi",18934
48163,Republican,TX,"Frio County, Texas",18956
1087,Republican,AL,"Macon County, Alabama",18963
18123,Republican,IN,"Perry County, Indiana",18966
5107,Republican,AR,"Phillips County, Arkansas",18975
13019,Republican,GA,"Berrien County, Georgia",18993
20041,Republican,KS,"Dickinson County, Kansas",19064
35041,Republican,NM,"Roosevelt County, New Mexico",19082
56023,Republican,WY,"Lincoln County, Wyoming",19110
47173,Republican,TN,"Union County, Tennessee",19140
54047,Democratic,WV,"McDowell County, West Virginia",19141
13105,Republican,GA,"Elbert County, Georgia",19143
13229,Republican,GA,"Pierce County, Georgia",19171
21155,Republican,KY,"Marion County, Kentucky",19205
55067,Republican,WI,"Langlade County, Wisconsin",19221
30053,Democratic,MT,"Lincoln County, Montana",19259
21001,Republican,KY,"Adair County, Kentucky",19280
29157,Republican,MO,"Perry County, Missouri",19285
17033,Republican,IL,"Crawford County, Illinois",19308
18117,Republican,IN,"Orange County, Indiana",19335
47041,Republican,TN,"DeKalb County, Tennessee",19361
51079,Democratic,VA,"Greene County, Virginia",19371
48337,Republican,TX,"Montague County, Texas",19414
35027,Republican,NM,"Lincoln County, New Mexico",19429
47159,Republican,TN,"Smith County, Tennessee",19447
19097,Republican,IA,"Jackson County, Iowa",19472
12059,Republican,FL,"Holmes County, Florida",19487
28141,Republican,MS,"Tishomingo County, Mississippi",19491
28031,Republican,MS,"Covington County, Mississippi",19569
48161,Republican,TX,"Freestone County, Texas",19624
17041,Republican,IL,"Douglas County, Illinois",19630
1091,Republican,AL,"Marengo County, Alabama",19673
22037,Democratic,LA,"East Feliciana Parish, Louisiana",19683
19087,Republican,IA,"Henry County, Iowa",19773
48285,Republican,TX,"Lavaca County, Texas",19809
40091,Republican,OK,"McIntosh County, Oklahoma",19815
28025,Republican,MS,"Clay County, Mississippi",19850
37015,Democratic,NC,"Bertie County, North Carolina",19854
46035,Republican,SD,"Davison County, South Dakota",19903
37185,Democratic,NC,"Warren County, North Carolina",19907
22029,Democratic,LA,"Concordia Parish, Louisiana",19920
45049,Republican,SC,"Hampton County, South Carolina",19922
21027,Republican,KY,"Breckinridge County, Kentucky",19961
18015,Republican,IN,"Carroll County, Indiana",19970
1013,Republican,AL,"Butler County, Alabama",19998
37131,Democratic,NC,"Northampton County, North Carolina",20000
48253,Republican,TX,"Jones County, Texas",20009
21017,Republican,KY,"Bourbon County, Kentucky",20030
19065,Republican,IA,"Fayette County, Iowa",20054
55001,Republican,WI,"Adams County, Wisconsin",20069
18049,Republican,IN,"Fulton County, Indiana",20139
5113,Republican,AR,"Polk County, Arkansas",20173
45081,Republican,SC,"Saluda County, South Carolina",20197
29141,Republican,MO,"Morgan County, Missouri",20213
20021,Republican,KS,"Cherokee County, Kansas",20246
4012,Republican,AZ,"La Paz County, Arizona",20317
1107,Republican,AL,"Pickens County, Alabama",20324
22041,Democratic,LA,"Franklin Parish, Louisiana",20330
19021,Republican,IA,"Buena Vista County, Iowa",20332
37149,Democratic,NC,"Polk County, North Carolina",20334
49013,Republican,UT,"Duchesne County, Utah",20337
48299,Republican,TX,"Llano County, Texas",20362
49007,Republican,UT,"Carbon County, Utah",20399
55061,Republican,WI,"Kewaunee County, Wisconsin",20405
22083,Democratic,LA,"Richland Parish, Louisiana",20430
19027,Republican,IA,"Carroll County, Iowa",20437
19105,Republican,IA,"Jones County, Iowa",20439
55119,Republican,WI,"Taylor County, Wisconsin",20439
20099,Republican,KS,"Labette County, Kansas",20444
21231,Republican,KY,"Wayne County, Kentucky",20453
13303,Republican,GA,"Washington County, Georgia",20457
31043,Republican,NE,"Dakota County, Nebraska",20465
48165,Republican,TX,"Gaines County, Texas",20478
28153,Republican,MS,"Wayne County, Mississippi",20480
5003,Republican,AR,"Ashley County, Arkansas",20492
19191,Republican,IA,"Winneshiek County, Iowa",20561
55053,Republican,WI,"Jackson County, Wisconsin",20562
13091,Republican,GA,"Dodge County, Georgia",20563
31177,Republican,NE,"Washington County, Nebraska",20603
29049,Republican,MO,"Clinton County, Missouri",20610
21003,Republican,KY,"Allen County, Kentucky",20631
18147,Republican,IN,"Spencer County, Indiana",20648
29217,Republican,MO,"Vernon County, Missouri",20723
13321,Republican,GA,"Worth County, Georgia",20748
48281,Republican,TX,"Lampasas County, Texas",20760
21051,Republican,KY,"Clay County, Kentucky",20766
56041,Republican,WY,"Uinta County, Wyoming",20773
18153,Republican,IN,"Sullivan County, Indiana",20802
40153,Republican,OK,"Woodward County, Oklahoma",20814
18119,Republican,IN,"Owen County, Indiana",20840
48123,Republican,TX,"DeWitt County, Texas",20865
48177,Republican,TX,"Gonzales County, Texas",20876
26129,Republican,MI,"Ogemaw County, Michigan",20904
5029,Republican,AR,"Conway County, Arkansas",20937
19019,Republican,IA,"Buchanan County, Iowa",20992
48089,Republican,TX,"Colorado County, Texas",21019
31155,Republican,NE,"Saunders County, Nebraska",21038
18075,Republican,IN,"Jay County, Indiana",21046
13199,Republican,GA,"Meriwether County, Georgia",21074
40139,Republican,OK,"Texas County, Oklahoma",21098
38093,Republican,ND,"Stutsman County, North Dakota",21128
51127,Democratic,VA,"New Kent County, Virginia",21147
37079,Democratic,NC,"Greene County, North Carolina",21168
54043,Democratic,WV,"Lincoln County, West Virginia",21232
49041,Republican,UT,"Sevier County, Utah",21267
28043,Republican,MS,"Grenada County, Mississippi",21275
48457,Republican,TX,"Tyler County, Texas",21320
37115,Democratic,NC,"Madison County, North Carolina",21340
17145,Republican,IL,"Perry County, Illinois",21357
55125,Republican,WI,"Vilas County, Wisconsin",21435
13237,Republican,GA,"Putnam County, Georgia",21477
21167,Republican,KY,"Mercer County, Kentucky",21477
45011,Republican,SC,"Barnwell County, South Carolina",21483
13189,Republican,GA,"McDuffie County, Georgia",21490
48233,Republican,TX,"Hutchinson County, Texas",21511
1099,Republican,AL,"Monroe County, Alabama",21530
5149,Republican,AR,"Yell County, Arkansas",21552
47129,Republican,TN,"Morgan County, Tennessee",21554
22093,Democratic,LA,"St. James Parish, Louisiana",21557
28101,Republican,MS,"Newton County, Mississippi",21558
29083,Republican,MO,"Henry County, Missouri",21594
17173,Republican,IL,"Shelby County, Illinois",21717
54109,Democratic,WV,"Wyoming County, West Virginia",21763
26089,Republican,MI,"Leelanau County, Michigan",21765
17085,Republican,IL,"Jo Daviess County, Illinois",21770
48019,Republican,TX,"Bandera County, Texas",21776
17051,Republican,IL,"Fayette County, Illinois",21789
5083,Republican,AR,"Logan County, Arkansas",21792
31067,Republican,NE,"Gage County, Nebraska",21799
48489,Republican,TX,"Willacy County, Texas",21810
51820,Democratic,VA,"Waynesboro city, Virginia",21887
51169,Democratic,VA,"Scott County, Virginia",21930
47151,Republican,TN,"Scott County, Tennessee",21947
48057,Republican,TX,"Calhoun County, Texas",21965
5057,Republican,AR,"Hempstead County, Arkansas",21974
17083,Republican,IL,"Jersey County, Illinois",22025
47133,Republican,TN,"Overton County, Tennessee",22051
40001,Republican,OK,"Adair County, Oklahoma",22098
39175,Republican,OH,"Wyandot County, Ohio",22118
48341,Republican,TX,"Moore County, Texas",22120
21005,Republican,KY,"Anderson County, Kentucky",22158
22077,Democratic,LA,"Pointe Coupee Parish, Louisiana",22159
12123,Republican,FL,"Taylor County, Florida",22175
51027,Democratic,VA,"Buchanan County, Virginia",22178
19123,Republican,IA,"Mahaska County, Iowa",22181
28139,Republican,MS,"Tippah County, Mississippi",22190
19183,Republican,IA,"Washington County, Iowa",22281
13119,Republican,GA,"Franklin County, Georgia",22320
22043,Democratic,LA,"Grant Parish, Louisiana",22365
51163,Democratic,VA,"Rockbridge County, Virginia",22392
13205,Republican,GA,"Mitchell County, Georgia",22459
22111,Democratic,LA,"Union Parish, Louisiana",22487
40009,Republican,OK,"Beckham County, Oklahoma",22519
41013,Democratic,OR,"Crook County, Oregon",22570
46135,Republican,SD,"Yankton County, South Dakota",22616
29119,Republican,MO,"McDonald County, Missouri",22620
28079,Republican,MS,"Leake County, Mississippi",22620
13107,Republican,GA,"Emanuel County, Georgia",22635
1007,Republican,AL,"Bibb County, Alabama",22643
1111,Republican,AL,"Randolph County, Alabama",22652
45039,Republican,SC,"Fairfield County, South Carolina",22653
5019,Republican,AR,"Clark County, Arkansas",22657
51075,Democratic,VA,"Goochland County, Virginia",22668
29147,Republican,MO,"Nodaway County, Missouri",22670
13033,Republican,GA,"Burke County, Georgia",22688
22007,Democratic,LA,"Assumption Parish, Louisiana",22695
20175,Republican,KS,"Seward County, Kansas",22709
41015,Democratic,OR,"Curry County, Oregon",22713
18047,Republican,IN,"Franklin County, Indiana",22715
13081,Republican,GA,"Crisp County, Georgia",22721
48179,Republican,TX,"Gray County, Texas",22725
51670,Democratic,VA,"Hopewell city, Virginia",22735
29177,Republican,MO,"Ray County, Missouri",22754
48225,Republican,TX,"Houston County, Texas",22754
21133,Republican,KY,"Letcher County, Kentucky",22773
54005,Democratic,WV,"Boone County, West Virginia",22816
37033,Democratic,NC,"Caswell County, North Carolina",22910
13291,Republican,GA,"Union County, Georgia",22928
54009,Democratic,WV,"Brooke County, West Virginia",22977
21115,Republican,KY,"Johnson County, Kentucky",22978
29195,Republican,MO,"Saline County, Missouri",22980
18149,Republican,IN,"Starke County, Indiana",23009
47057,Republican,TN,"Grainger County, Tennessee",23072
41031,Democratic,OR,"Jefferson County, Oregon",23080
26133,Republican,MI,"Osceola County, Michigan",23110
39105,Republican,OH,"Meigs County, Ohio",23125
51147,Democratic,VA,"Prince Edward County, Virginia",23142
26009,Republican,MI,"Antrim County, Michigan",23144
37117,Democratic,NC,"Martin County, North Carolina",23172
56039,Republican,WY,"Teton County, Wyoming",23191
41027,Democratic,OR,"Hood River County, Oregon",23232
20191,Republican,KS,"Sumner County, Kansas",23272
48219,Republican,TX,"Hockley County, Texas",23275
26109,Republican,MI,"Menominee County, Michigan",23281
54027,Democratic,WV,"Hampshire County, West Virginia",23301
18041,Republican,IN,"Fayette County, Indiana",23331
47111,Republican,TN,"Macon County, Tennessee",23450
22075,Democratic,LA,"Plaquemines Parish, Louisiana",23464
48293,Republican,TX,"Limestone County, Texas",23468
48365,Republican,TX,"Panola County, Texas",23492
28057,Republican,MS,"Itawamba County, Mississippi",23529
13085,Republican,GA,"Dawson County, Georgia",23604
31047,Republican,NE,"Dawson County, Nebraska",23640
51139,Democratic,VA,"Page County, Virginia",23654
55049,Republican,WI,"Iowa County, Wisconsin",23654
20149,Republican,KS,"Pottawatomie County, Kansas",23661
28039,Republican,MS,"George County, Mississippi",23695
26143,Republican,MI,"Roscommon County, Michigan",23700
18143,Republican,IN,"Scott County, Indiana",23730
1133,Republican,AL,"Winston County, Alabama",23805
28027,Republican,MS,"Coahoma County, Mississippi",23809
13035,Republican,GA,"Butts County, Georgia",23817
5027,Republican,AR,"Columbia County, Arkansas",23901
22085,Democratic,LA,"Sabine Parish, Louisiana",23977
18181,Republican,IN,"White County, Indiana",23999
5111,Republican,AR,"Poinsett County, Arkansas",24023
5103,Republican,AR,"Ouachita County, Arkansas",24098
37091,Democratic,NC,"Hertford County, North Carolina",24136
55137,Republican,WI,"Waushara County, Wisconsin",24162
51600,Democratic,VA,"Fairfax city, Virginia",24164
51105,Democratic,VA,"Lee County, Virginia",24179
32001,Republican,NV,"Churchill County, Nevada",24198
47081,Republican,TN,"Hickman County, Tennessee",24295
29055,Republican,MO,"Crawford County, Missouri",24302
17165,Republican,IL,"Saline County, Illinois",24307
51790,Democratic,VA,"Staunton city, Virginia",24363
21137,Republican,KY,"Lincoln County, Kentucky",24372
26101,Republican,MI,"Manistee County, Michigan",24373
21183,Republican,KY,"Ohio County, Kentucky",24378
1025,Republican,AL,"Clarke County, Alabama",24392
35029,Republican,NM,"Luna County, New Mexico",24450
21205,Republican,KY,"Rowan County, Kentucky",24451
26137,Republican,MI,"Otsego County, Michigan",24470
12133,Republican,FL,"Washington County, Florida",24569
54059,Democratic,WV,"Mingo County, West Virginia",24647
54097,Democratic,WV,"Upshur County, West Virginia",24658
19017,Republican,IA,"Bremer County, Iowa",24798
13131,Republican,GA,"Grady County, Georgia",24808
13055,Republican,GA,"Chattooga County, Georgia",24824
29221,Republican,MO,"Washington County, Missouri",24839
42067,Democratic,PA,"Juniata County, Pennsylvania",24863
48331,Republican,TX,"Milam County, Texas",24871
45001,Republican,SC,"Abbeville County, South Carolina",24872
13111,Republican,GA,"Fannin County, Georgia",24900
21081,Republican,KY,"Grant County, Kentucky",24923
29175,Republican,MO,"Randolph County, Missouri",24989
18135,Republican,IN,"Randolph County, Indiana",25082
13267,Republican,GA,"Tattnall County, Georgia",25092
26051,Republican,MI,"Gladwin County, Michigan",25122
48149,Republican,TX,"Fayette County, Texas",25149
19149,Republican,IA,"Plymouth County, Iowa",25200
29131,Republican,MO,"Miller County, Missouri",25206
40133,Republican,OK,"Seminole County, Oklahoma",25207
28091,Republican,MS,"Marion County, Mississippi",25251
28117,Republican,MS,"Prentiss County, Mississippi",25256
5023,Republican,AR,"Cleburne County, Arkansas",25264
46081,Republican,SD,"Lawrence County, South Dakota",25281
54067,Democratic,WV,"Nicholas County, West Virginia",25311
26069,Republican,MI,"Iosco County, Michigan",25327
29001,Republican,MO,"Adair County, Missouri",25359
21217,Republican,KY,"Taylor County, Kentucky",25397
26031,Republican,MI,"Cheboygan County, Michigan",25401
47069,Republican,TN,"Hardeman County, Tennessee",25435
37007,Democratic,NC,"Anson County, North Carolina",25448
18129,Republican,IN,"Posey County, Indiana",25476
40065,Republican,OK,"Jackson County, Oklahoma",25497
26043,Republican,MI,"Dickinson County, Michigan",25535
51775,Democratic,VA,"Salem city, Virginia",25549
13147,Republican,GA,"Hart County, Georgia",25553
20059,Republican,KS,"Franklin County, Kansas",25560
48419,Republican,TX,"Shelby County, Texas",25579
47071,Republican,TN,"Hardin County, Tennessee",25679
22003,Democratic,LA,"Allen Parish, Louisiana",25684
19011,Republican,IA,"Benton County, Iowa",25699
48007,Republican,TX,"Aransas County, Texas",25721
1019,Republican,AL,"Cherokee County, Alabama",25725
13257,Republican,GA,"Stephens County, Georgia",25751
31025,Republican,NE,"Cass County, Nebraska",25767
29215,Republican,MO,"Texas County, Missouri",25775
22121,Democratic,LA,"West Baton Rouge Parish, Louisiana",25795
37053,Democratic,NC,"Currituck County, North Carolina",25809
47109,Republican,TN,"McNairy County, Tennessee",25935
1005,Republican,AL,"Barbour County, Alabama",25965
51099,Democratic,VA,"King George County, Virginia",25984
29007,Republican,MO,"Audrain County, Missouri",26021
26127,Republican,MI,"Oceana County, Michigan",26027
22067,Democratic,LA,"Morehouse Parish, Louisiana",26071
41061,Democratic,OR,"Union County, Oregon",26087
41065,Democratic,OR,"Wasco County, Oregon",26115
21239,Republican,KY,"Woodford County, Kentucky",26124
41057,Democratic,OR,"Tillamook County, Oregon",26143
26029,Republican,MI,"Charlevoix County, Michigan",26174
5071,Republican,AR,"Johnson County, Arkansas",26176
21085,Republican,KY,"Grayson County, Kentucky",26184
5123,Republican,AR,"St. Francis County, Arkansas",26196
51065,Democratic,VA,"Fluvanna County, Virginia",26271
55057,Republican,WI,"Juneau County, Wisconsin",26274
18021,Republican,IN,"Clay County, Indiana",26309
13293,Republican,GA,"Upson County, Georgia",26335
45037,Republican,SC,"Edgefield County, South Carolina",26358
28133,Republican,MS,"Sunflower County, Mississippi",26407
48171,Republican,TX,"Gillespie County, Texas",26521
19015,Republican,IA,"Boone County, Iowa",26532
21141,Republican,KY,"Logan County, Kentucky",26593
18031,Republican,IN,"Decatur County, Indiana",26598
1061,Republican,AL,"Geneva County, Alabama",26614
47185,Republican,TN,"White County, Tennessee",26653
13225,Republican,GA,"Peach County, Georgia",26655
47097,Republican,TN,"Lauderdale County, Tennessee",26773
20009,Republican,KS,"Barton County, Kansas",26775
13087,Republican,GA,"Decatur County, Georgia",26822
54053,Democratic,WV,"Mason County, West Virginia",26825
28127,Republican,MS,"Simpson County, Mississippi",26912
37009,Democratic,NC,"Ashe County, North Carolina",26924
12007,Republican,FL,"Bradford County, Florida",26926
45069,Republican,SC,"Marlboro County, South Carolina",26945
21043,Republican,KY,"Carter County, Kentucky",27046
21013,Republican,KY,"Bell County, Kentucky",27117
22031,Democratic,LA,"De Soto Parish, Louisiana",27149
21095,Republican,KY,"Harlan County, Kentucky",27168
13279,Republican,GA,"Toombs County, Georgia",27196
28163,Republican,MS,"Yazoo County, Mississippi",27264
48463,Republican,TX,"Uvalde County, Texas",27285
13207,Republican,GA,"Monroe County, Georgia",27306
21193,Republican,KY,"Perry County, Kentucky",27343
12049,Republican,FL,"Hardee County, Florida",27360
51167,Democratic,VA,"Russell County, Virginia",27370
54057,Democratic,WV,"Mineral County, West Virginia",27411
37123,Democratic,NC,"Montgomery County, North Carolina",27418
35006,Republican,NM,"Cibola County, New Mexico",27487
51840,Democratic,VA,"Winchester city, Virginia",27516
42131,Democratic,PA,"Wyoming County, Pennsylvania",27521
55029,Republican,WI,"Door County, Wisconsin",27587
39069,Republican,OH,"Henry County, Ohio",27629
5015,Republican,AR,"Carroll County, Arkansas",27646
39019,Republican,OH,"Carroll County, Ohio",27669
18175,Republican,IN,"Washington County, Indiana",27670
48185,Republican,TX,"Grimes County, Texas",27671
45087,Republican,SC,"Union County, South Carolina",27673
46093,Republican,SD,"Meade County, South Dakota",27693
48407,Republican,TX,"San Jacinto County, Texas",27707
18079,Republican,IN,"Jennings County, Indiana",27758
35047,Republican,NM,"San Miguel County, New Mexico",27760
21173,Republican,KY,"Montgomery County, Kentucky",27771
47077,Republican,TN,"Henderson County, Tennessee",27822
40049,Republican,OK,"Garvin County, Oklahoma",27838
55069,Republican,WI,"Lincoln County, Wisconsin",27902
37039,Democratic,NC,"Cherokee County, North Carolina",27905
39001,Republican,OH,"Adams County, Ohio",27907
12003,Republican,FL,"Baker County, Florida",27937
18179,Republican,IN,"Wells County, Indiana",27949
48363,Republican,TX,"Palo Pinto County, Texas",28053
46029,Republican,SD,"Codington County, South Dakota",28063
47017,Republican,TN,"Carroll County, Tennessee",28092
21163,Republican,KY,"Meade County, Kentucky",28126
51053,Democratic,VA,"Dinwiddie County, Virginia",28144
39131,Republican,OH,"Pike County, Ohio",28160
28137,Republican,MS,"Tate County, Mississippi",28201
28123,Republican,MS,"Scott County, Mississippi",28207
35017,Republican,NM,"Grant County, New Mexico",28280
51630,Democratic,VA,"Fredericksburg city, Virginia",28297
28145,Republican,MS,"Union County, Mississippi",28311
17075,Republican,IL,"Iroquois County, Illinois",28334
39073,Republican,OH,"Hocking County, Ohio",28340
39161,Republican,OH,"Van Wert County, Ohio",28362
51145,Democratic,VA,"Powhatan County, Virginia",28443
47115,Republican,TN,"Marion County, Tennessee",28446
45053,Republican,SC,"Jasper County, South Carolina",28465
28029,Republican,MS,"Copiah County, Mississippi",28482
13169,Republican,GA,"Jones County, Georgia",28623
39047,Republican,OH,"Fayette County, Ohio",28676
26007,Republican,MI,"Alpena County, Michigan",28704
20113,Republican,KS,"McPherson County, Kansas",28804
13195,Republican,GA,"Madison County, Georgia",28824
18137,Republican,IN,"Ripley County, Indiana",28846
26105,Republican,MI,"Mason County, Michigan",28876
13311,Republican,GA,"White County, Georgia",28884
20051,Republican,KS,"Ellis County, Kansas",28893
29127,Republican,MO,"Marion County, Missouri",28894
17135,Republican,IL,"Montgomery County, Illinois",28952
54083,Democratic,WV,"Randolph County, West Virginia",29006
51197,Democratic,VA,"Wythe County, Virginia",29016
13143,Republican,GA,"Haralson County, Georgia",29042
54035,Democratic,WV,"Jackson County, West Virginia",29152
40039,Republican,OK,"Custer County, Oklahoma",29293
47055,Republican,TN,"Giles County, Tennessee",29307
13177,Republican,GA,"Lee County, Georgia",29337
56029,Republican,WY,"Park County, Wyoming",29353
28099,Republican,MS,"Neshoba County, Mississippi",29403
49039,Republican,UT,"Sanpete County, Utah",29409
17107,Republican,IL,"Logan County, Illinois",29527
51035,Democratic,VA,"Carroll County, Virginia",29531
40015,Republican,OK,"Caddo County, Oklahoma",29557
29207,Republican,MO,"Stoddard County, Missouri",29588
54029,Democratic,WV,"Hancock County, West Virginia",29590
55121,Republican,WI,"Trempealeau County, Wisconsin",29633
13123,Republican,GA,"Gilmer County, Georgia",29733
30047,Democratic,MT,"Lake County, Montana",29758
48015,Republican,TX,"Austin County, Texas",29758
28083,Republican,MS,"Leflore County, Mississippi",29856
1093,Republican,AL,"Marion County, Alabama",29998
23007,Republican,ME,"Franklin County, Maine",30001
39053,Republican,OH,"Gallia County, Ohio",30015
21021,Republican,KY,"Boyle County, Kentucky",30018
13305,Republican,GA,"Wayne County, Georgia",30104
51033,Democratic,VA,"Caroline County, Virginia",30178
56033,Republican,WY,"Sheridan County, Wyoming",30200
26035,Republican,MI,"Clare County, Michigan",30358
48067,Republican,TX,"Cass County, Texas",30375
13261,Republican,GA,"Sumter County, Georgia",30389
41045,Democratic,OR,"Malheur County, Oregon",30439
42047,Democratic,PA,"Elk County, Pennsylvania",30480
49051,Republican,UT,"Wasatch County, Utah",30528
29069,Republican,MO,"Dunklin County, Missouri",30535
47131,Republican,TN,"Obion County, Tennessee",30578
38059,Republican,ND,"Morton County, North Dakota",30809
55123,Republican,WI,"Vernon County, Wisconsin",30814
13227,Republican,GA,"Pickens County, Georgia",30832
45033,Republican,SC,"Dillon County, South Carolina",30858
51117,Democratic,VA,"Mecklenburg County, Virginia",30892
17109,Republican,IL,"McDonough County, Illinois",30996
21177,Republican,KY,"Muhlenberg County, Kentucky",31028
29209,Republican,MO,"Stone County, Missouri",31047
51173,Democratic,VA,"Smyth County, Virginia",31062
38089,Republican,ND,"Stark County, North Dakota",31199
28001,Republican,MS,"Adams County, Mississippi",31248
29167,Republican,MO,"Polk County, Missouri",31285
21157,Republican,KY,"Marshall County, Kentucky",31365
22053,Democratic,LA,"Jefferson Davis Parish, Louisiana",31413
13187,Republican,GA,"Lumpkin County, Georgia",31445
23029,Republican,ME,"Washington County, Maine",31450
39065,Republican,OH,"Hardin County, Ohio",31474
26063,Republican,MI,"Huron County, Michigan",31481
28115,Republican,MS,"Pontotoc County, Mississippi",31550
1059,Republican,AL,"Franklin County, Alabama",31628
51009,Democratic,VA,"Amherst County, Virginia",31633
31001,Republican,NE,"Adams County, Nebraska",31684
21121,Republican,KY,"Knox County, Kentucky",31687
48273,Republican,TX,"Kleberg County, Texas",31690
40115,Republican,OK,"Ottawa County, Oklahoma",31691
45067,Republican,SC,"Marion County, South Carolina",31726
47025,Republican,TN,"Claiborne County, Tennessee",31757
18169,Republican,IN,"Wabash County, Indiana",31762
54051,Democratic,WV,"Marshall County, West Virginia",31793
51730,Democratic,VA,"Petersburg city, Virginia",31882
12129,Republican,FL,"Wakulla County, Florida",31893
47117,Republican,TN,"Marshall County, Tennessee",31915
45089,Republican,SC,"Williamsburg County, South Carolina",31955
33007,Republican,NH,"Coos County, New Hampshire",32039
45023,Republican,SC,"Chester County, South Carolina",32181
18055,Republican,IN,"Greene County, Indiana",32211
47079,Republican,TN,"Henry County, Tennessee",32310
18077,Republican,IN,"Jefferson County, Indiana",32418
47143,Republican,TN,"Rhea County, Tennessee",32442
18023,Republican,IN,"Clinton County, Indiana",32457
2110,Independent,AK,"Juneau City and Borough, Alaska",32468
39079,Republican,OH,"Jackson County, Ohio",32505
48449,Republican,TX,"Titus County, Texas",32592
29107,Republican,MO,"Lafayette County, Missouri",32618
17157,Republican,IL,"Randolph County, Illinois",32621
28011,Republican,MS,"Bolivar County, Mississippi",32737
20125,Republican,KS,"Montgomery County, Kansas",32746
48025,Republican,TX,"Bee County, Texas",32750
40089,Republican,OK,"McCurtain County, Oklahoma",32822
31141,Republican,NE,"Platte County, Nebraska",32861
22047,Democratic,LA,"Iberville Parish, Louisiana",32920
51001,Democratic,VA,"Accomack County, Virginia",32947
20121,Republican,KS,"Miami County, Kansas",32964
18027,Republican,IN,"Daviess County, Indiana",32969
35055,Republican,NM,"Taos County, New Mexico",33065
26165,Republican,MI,"Wexford County, Michigan",33163
26047,Republican,MI,"Emmet County, Michigan",33182
19125,Republican,IA,"Marion County, Iowa",33189
51023,Democratic,VA,"Botetourt County, Virginia",33231
1079,Republican,AL,"Lawrence County, Alabama",33244
1109,Republican,AL,"Pike County, Alabama",33286
17021,Republican,IL,"Christian County, Illinois",33309
17011,Republican,IL,"Bureau County, Illinois",33359
5059,Republican,AR,"Hot Spring County, Arkansas",33374
18073,Republican,IN,"Jasper County, Indiana",33433
18183,Republican,IN,"Whitley County, Indiana",33449
37175,Democratic,NC,"Transylvania County, North Carolina",33482
47183,Republican,TN,"Weakley County, Tennessee",33507
20111,Republican,KS,"Lyon County, Kansas",33510
47103,Republican,TN,"Lincoln County, Tennessee",33645
13145,Republican,GA,"Harris County, Georgia",33652
54045,Democratic,WV,"Logan County, West Virginia",33700
18051,Republican,IN,"Gibson County, Indiana",33703
22039,Democratic,LA,"Evangeline Parish, Louisiana",33709
37017,Democratic,NC,"Bladen County, North Carolina",33741
54077,Democratic,WV,"Preston County, West Virginia",33758
29219,Republican,MO,"Warren County, Missouri",33802
1017,Republican,AL,"Chambers County, Alabama",33843
45027,Republican,SC,"Clarendon County, South Carolina",33951
20057,Republican,KS,"Ford County, Kansas",33971
48147,Republican,TX,"Fannin County, Texas",34031
39137,Republican,OH,"Putnam County, Ohio",34056
17133,Republican,IL,"Monroe County, Illinois",34068
18151,Republican,IN,"Steuben County, Indiana",34116
