date,Accommodation and food services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Federal,Finance and insurance,Health care and social assistance,Information,Management of companies and enterprises,Mining,"Other services, except government","Professional, scientific, and technical services",Real estate and rental and leasing,Retail trade,State and local,Transportation and warehousing,Utilities,Wholesale trade
2010-07-01,0.12,0.16,-0.02,0.01,-0.11,1.00,0.00,-0.08,-0.52,0.16,0.62,0.10,0.02,0.09,0.49,0.16,0.40,-0.10,0.38,0.07,0.62
2010-10-01,0.14,0.15,-0.18,0.10,-0.03,0.67,0.02,0.01,0.65,0.10,-0.19,0.22,0.24,0.00,0.26,0.63,-0.08,-0.07,0.27,0.02,-0.04
2011-01-01,0.12,0.01,0.04,-0.05,-0.37,-0.05,0.04,0.02,0.26,0.04,-0.33,0.06,-0.15,-0.10,0.04,-0.41,-0.03,-0.06,-0.07,-0.28,0.03
2011-04-01,0.17,0.16,-0.36,0.03,0.29,0.09,0.00,0.02,-0.53,0.23,0.14,0.06,0.24,0.01,0.50,0.93,-0.10,-0.03,0.11,0.42,-0.20
2011-07-01,0.05,0.10,0.03,0.07,0.08,0.25,-0.02,-0.04,0.37,0.12,0.12,-0.14,0.43,0.00,0.09,0.25,0.06,-0.13,-0.13,-0.05,-0.09
2011-10-01,-0.02,0.04,0.26,-0.11,0.11,0.66,-0.04,0.02,0.08,0.04,-0.04,0.07,0.59,0.01,0.09,0.84,0.12,-0.01,0.13,0.34,1.03
2012-01-01,0.19,0.30,-0.27,0.13,0.27,0.04,0.09,-0.01,0.87,0.39,0.01,0.30,-0.05,0.12,0.46,-0.37,0.40,0.04,0.10,-0.54,-0.33
2012-04-01,-0.05,-0.01,-0.08,0.02,0.02,0.25,0.00,-0.06,0.36,-0.08,0.45,0.07,0.36,0.05,0.26,0.22,-0.50,-0.01,-0.03,0.31,0.45
2012-07-01,-0.02,0.05,-0.34,0.01,-0.04,-0.20,-0.01,-0.04,0.39,0.10,-0.27,0.14,0.06,0.04,-0.16,0.23,0.76,0.04,-0.08,-0.01,0.03
2012-10-01,0.14,0.01,-0.05,0.06,0.23,0.03,-0.01,-0.07,-0.22,0.25,-0.28,0.45,0.28,0.00,0.49,-0.35,-0.27,0.01,-0.04,-0.11,-0.03
2013-01-01,0.21,0.01,0.66,0.03,0.17,0.36,-0.09,-0.10,-2.01,0.29,1.17,-0.49,0.08,-0.06,-0.69,0.48,0.61,0.02,0.26,0.18,0.21
2013-04-01,-0.11,0.06,0.41,0.01,-0.03,-0.21,0.01,-0.11,0.31,-0.04,0.09,0.33,0.17,-0.07,0.16,-0.08,-0.21,-0.03,-0.19,-0.13,0.15
2013-07-01,0.03,0.14,0.33,0.01,0.20,0.21,0.00,-0.20,0.20,0.07,0.07,0.32,0.11,0.00,0.38,0.69,0.21,-0.04,0.04,-0.20,0.49
2013-10-01,0.10,0.09,-0.10,0.07,-0.04,0.14,0.01,-0.24,0.96,0.01,0.57,0.19,0.30,0.06,0.21,0.35,0.24,-0.07,0.27,-0.12,0.34
2014-01-01,0.03,0.07,-0.20,0.02,0.06,-0.26,0.07,0.25,-0.07,0.08,-0.56,0.02,-0.12,0.02,-0.13,-0.11,-0.02,-0.04,-0.13,0.04,-0.37
2014-04-01,0.11,0.10,0.04,0.02,0.11,0.33,0.01,-0.05,0.68,0.17,0.09,0.02,0.43,0.09,0.30,0.30,0.45,0.07,0.03,-0.07,0.43
2014-07-01,0.16,0.16,-0.07,0.07,0.01,0.63,0.04,-0.05,0.05,0.46,0.05,0.30,0.69,0.15,0.73,0.61,0.23,0.08,0.21,0.19,0.80
2014-10-01,0.05,0.13,0.10,0.06,0.19,-0.07,-0.02,-0.05,0.15,0.26,0.17,0.03,0.74,0.01,0.23,0.24,-0.07,0.09,-0.11,0.00,0.09
2015-01-01,0.00,0.06,-0.06,0.00,0.06,-0.08,0.00,0.01,0.18,0.23,0.58,-0.03,0.12,-0.02,0.39,0.49,0.09,-0.05,-0.30,-0.44,0.01
2015-04-01,0.12,0.09,-0.02,0.03,0.48,-0.01,-0.01,-0.03,-0.47,0.37,0.43,-0.01,-0.39,0.07,0.34,0.15,0.52,0.18,0.13,0.30,0.22
2015-07-01,0.05,0.13,0.23,0.02,0.22,-0.12,0.02,-0.02,-0.20,0.31,0.21,0.08,-0.13,0.00,0.18,0.22,0.17,0.17,0.15,0.09,-0.11
2015-10-01,0.11,0.08,0.03,0.08,0.19,0.08,0.02,-0.04,-0.56,0.42,0.55,0.03,-0.35,0.08,0.23,0.03,0.39,0.00,-0.06,-0.06,0.14
2016-01-01,-0.12,-0.07,0.06,-0.02,0.29,-0.17,-0.05,-0.01,0.62,-0.12,0.35,-0.12,-0.05,0.02,0.25,0.22,-0.05,0.03,-0.21,0.05,-0.27
2016-04-01,0.01,0.04,0.08,0.00,-0.16,0.02,-0.03,0.05,-0.01,0.34,-0.01,0.14,-0.31,0.02,0.26,0.21,-0.17,0.06,0.40,0.10,0.06
2016-07-01,0.04,0.18,0.12,0.05,0.03,0.32,0.03,0.06,0.64,0.21,0.40,0.10,-0.05,0.08,0.19,0.00,0.15,0.18,0.11,0.21,0.48
2016-10-01,0.10,0.14,-0.07,0.10,0.03,0.04,0.02,0.02,0.45,0.22,0.04,0.06,0.08,0.05,0.26,0.11,0.32,0.02,0.14,-0.03,0.15
