,Code,County,State,Title,Period,LF,Emp,U Level,U Rate,FIPS
41847,CN0100100000000,1.0,1.0,"Autauga County, AL",Jun-17(p),"25,992","24,791","1,201",4.6,01001
41848,CN0100300000000,1.0,3.0,"Baldwin County, AL",Jun-17(p),"94,329","90,227","4,102",4.3,01003
41849,CN0100500000000,1.0,5.0,"Barbour County, AL",Jun-17(p),"8,195","7,624",571,7.0,01005
41850,CN0100700000000,1.0,7.0,"Bibb County, AL",Jun-17(p),"8,584","8,137",447,5.2,01007
41851,CN0100900000000,1.0,9.0,"Blount County, AL",Jun-17(p),"24,761","23,582","1,179",4.8,01009
41852,CN0101100000000,1.0,11.0,"Bullock County, AL",Jun-17(p),"4,795","4,527",268,5.6,01011
41853,CN0101300000000,1.0,13.0,"Butler County, AL",Jun-17(p),"9,180","8,607",573,6.2,01013
41854,CN0101500000000,1.0,15.0,"Calhoun County, AL",Jun-17(p),"45,804","43,102","2,702",5.9,01015
41855,CN0101700000000,1.0,17.0,"Chambers County, AL",Jun-17(p),"15,360","14,643",717,4.7,01017
41856,CN0101900000000,1.0,19.0,"Cherokee County, AL",Jun-17(p),"11,242","10,715",527,4.7,01019
41857,CN0102100000000,1.0,21.0,"Chilton County, AL",Jun-17(p),"19,273","18,366",907,4.7,01021
41858,CN0102300000000,1.0,23.0,"Choctaw County, AL",Jun-17(p),"4,274","3,949",325,7.6,01023
41859,CN0102500000000,1.0,25.0,"Clarke County, AL",Jun-17(p),"7,887","7,049",838,10.6,01025
41860,CN0102700000000,1.0,27.0,"Clay County, AL",Jun-17(p),"5,723","5,432",291,5.1,01027
41861,CN0102900000000,1.0,29.0,"Cleburne County, AL",Jun-17(p),"5,890","5,587",303,5.1,01029
41862,CN0103100000000,1.0,31.0,"Coffee County, AL",Jun-17(p),"20,670","19,593","1,077",5.2,01031
41863,CN0103300000000,1.0,33.0,"Colbert County, AL",Jun-17(p),"23,652","22,233","1,419",6.0,01033
41864,CN0103500000000,1.0,35.0,"Conecuh County, AL",Jun-17(p),"4,546","4,209",337,7.4,01035
41865,CN0103700000000,1.0,37.0,"Coosa County, AL",Jun-17(p),"4,409","4,176",233,5.3,01037
41866,CN0103900000000,1.0,39.0,"Covington County, AL",Jun-17(p),"15,705","14,734",971,6.2,01039
41867,CN0104100000000,1.0,41.0,"Crenshaw County, AL",Jun-17(p),"6,392","6,068",324,5.1,01041
41868,CN0104300000000,1.0,43.0,"Cullman County, AL",Jun-17(p),"38,117","36,461","1,656",4.3,01043
41869,CN0104500000000,1.0,45.0,"Dale County, AL",Jun-17(p),"20,041","18,984","1,057",5.3,01045
41870,CN0104700000000,1.0,47.0,"Dallas County, AL",Jun-17(p),"15,532","14,091","1,441",9.3,01047
41871,CN0104900000000,1.0,49.0,"DeKalb County, AL",Jun-17(p),"28,926","27,391","1,535",5.3,01049
41872,CN0105100000000,1.0,51.0,"Elmore County, AL",Jun-17(p),"37,217","35,635","1,582",4.3,01051
41873,CN0105300000000,1.0,53.0,"Escambia County, AL",Jun-17(p),"14,692","13,852",840,5.7,01053
41874,CN0105500000000,1.0,55.0,"Etowah County, AL",Jun-17(p),"44,671","42,337","2,334",5.2,01055
41875,CN0105700000000,1.0,57.0,"Fayette County, AL",Jun-17(p),"6,518","6,154",364,5.6,01057
41876,CN0105900000000,1.0,59.0,"Franklin County, AL",Jun-17(p),"13,854","13,156",698,5.0,01059
41877,CN0106100000000,1.0,61.0,"Geneva County, AL",Jun-17(p),"10,973","10,431",542,4.9,01061
41878,CN0106300000000,1.0,63.0,"Greene County, AL",Jun-17(p),"2,823","2,573",250,8.9,01063
41879,CN0106500000000,1.0,65.0,"Hale County, AL",Jun-17(p),"6,052","5,635",417,6.9,01065
41880,CN0106700000000,1.0,67.0,"Henry County, AL",Jun-17(p),"6,799","6,430",369,5.4,01067
41881,CN0106900000000,1.0,69.0,"Houston County, AL",Jun-17(p),"45,024","42,772","2,252",5.0,01069
41882,CN0107100000000,1.0,71.0,"Jackson County, AL",Jun-17(p),"23,582","22,268","1,314",5.6,01071
41883,CN0107300000000,1.0,73.0,"Jefferson County, AL",Jun-17(p),"313,198","297,662","15,536",5.0,01073
41884,CN0107500000000,1.0,75.0,"Lamar County, AL",Jun-17(p),"5,734","5,444",290,5.1,01075
41885,CN0107700000000,1.0,77.0,"Lauderdale County, AL",Jun-17(p),"43,008","40,649","2,359",5.5,01077
41886,CN0107900000000,1.0,79.0,"Lawrence County, AL",Jun-17(p),"13,802","13,017",785,5.7,01079
41887,CN0108100000000,1.0,81.0,"Lee County, AL",Jun-17(p),"75,088","71,595","3,493",4.7,01081
41888,CN0108300000000,1.0,83.0,"Limestone County, AL",Jun-17(p),"41,026","39,136","1,890",4.6,01083
41889,CN0108500000000,1.0,85.0,"Lowndes County, AL",Jun-17(p),"3,795","3,454",341,9.0,01085
41890,CN0108700000000,1.0,87.0,"Macon County, AL",Jun-17(p),"8,095","7,494",601,7.4,01087
41891,CN0108900000000,1.0,89.0,"Madison County, AL",Jun-17(p),"175,494","167,369","8,125",4.6,01089
41892,CN0109100000000,1.0,91.0,"Marengo County, AL",Jun-17(p),"7,603","7,095",508,6.7,01091
41893,CN0109300000000,1.0,93.0,"Marion County, AL",Jun-17(p),"12,665","11,953",712,5.6,01093
41894,CN0109500000000,1.0,95.0,"Marshall County, AL",Jun-17(p),"41,797","39,923","1,874",4.5,01095
41895,CN0109700000000,1.0,97.0,"Mobile County, AL",Jun-17(p),"184,293","172,824","11,469",6.2,01097
41896,CN0109900000000,1.0,99.0,"Monroe County, AL",Jun-17(p),"7,235","6,649",586,8.1,01099
41897,CN0110100000000,1.0,101.0,"Montgomery County, AL",Jun-17(p),"106,000","100,604","5,396",5.1,01101
41898,CN0110300000000,1.0,103.0,"Morgan County, AL",Jun-17(p),"55,922","53,249","2,673",4.8,01103
41899,CN0110500000000,1.0,105.0,"Perry County, AL",Jun-17(p),"3,509","3,150",359,10.2,01105
41900,CN0110700000000,1.0,107.0,"Pickens County, AL",Jun-17(p),"8,066","7,527",539,6.7,01107
41901,CN0110900000000,1.0,109.0,"Pike County, AL",Jun-17(p),"15,112","14,221",891,5.9,01109
41902,CN0111100000000,1.0,111.0,"Randolph County, AL",Jun-17(p),"9,392","8,908",484,5.2,01111
41903,CN0111300000000,1.0,113.0,"Russell County, AL",Jun-17(p),"23,926","22,709","1,217",5.1,01113
41904,CN0111500000000,1.0,115.0,"St. Clair County, AL",Jun-17(p),"38,953","37,172","1,781",4.6,01115
41905,CN0111700000000,1.0,117.0,"Shelby County, AL",Jun-17(p),"109,485","105,339","4,146",3.8,01117
41906,CN0111900000000,1.0,119.0,"Sumter County, AL",Jun-17(p),"5,158","4,687",471,9.1,01119
41907,CN0112100000000,1.0,121.0,"Talladega County, AL",Jun-17(p),"34,581","32,623","1,958",5.7,01121
41908,CN0112300000000,1.0,123.0,"Tallapoosa County, AL",Jun-17(p),"18,620","17,757",863,4.6,01123
41909,CN0112500000000,1.0,125.0,"Tuscaloosa County, AL",Jun-17(p),"99,176","94,033","5,143",5.2,01125
41910,CN0112700000000,1.0,127.0,"Walker County, AL",Jun-17(p),"25,622","24,146","1,476",5.8,01127
41911,CN0112900000000,1.0,129.0,"Washington County, AL",Jun-17(p),"6,771","6,213",558,8.2,01129
41912,CN0113100000000,1.0,131.0,"Wilcox County, AL",Jun-17(p),"2,809","2,431",378,13.5,01131
41913,CN0113300000000,1.0,133.0,"Winston County, AL",Jun-17(p),"9,702","9,162",540,5.6,01133
41914,CN0201300000000,2.0,13.0,"Aleutians East Borough, AK",Jun-17(p),"2,565","2,497",68,2.7,02013
41915,CN0201600000000,2.0,16.0,"Aleutians West Census Area, AK",Jun-17(p),"3,820","3,676",144,3.8,02016
41916,CN0202000000000,2.0,20.0,"Anchorage Borough/municipality, AK",Jun-17(p),"160,771","151,270","9,501",5.9,02020
41917,CN0205000000000,2.0,50.0,"Bethel Census Area, AK",Jun-17(p),"7,399","6,226","1,173",15.9,02050
41918,CN0206000000000,2.0,60.0,"Bristol Bay Borough, AK",Jun-17(p),562,537,25,4.4,02060
41919,CN0206800000000,2.0,68.0,"Denali Borough, AK",Jun-17(p),"1,815","1,740",75,4.1,02068
41920,CN0207000000000,2.0,70.0,"Dillingham Census Area, AK",Jun-17(p),"2,571","2,371",200,7.8,02070
41921,CN0209000000000,2.0,90.0,"Fairbanks North Star Borough, AK",Jun-17(p),"46,411","43,507","2,904",6.3,02090
41922,CN0210000000000,2.0,100.0,"Haines Borough, AK",Jun-17(p),"1,267","1,184",83,6.6,02100
41923,CN0210500000000,2.0,105.0,"Hoonah-Angoon Census Area, AK",Jun-17(p),"1,404","1,289",115,8.2,02105
41924,CN0211000000000,2.0,110.0,"Juneau Borough/city, AK",Jun-17(p),"18,136","17,312",824,4.5,02110
41925,CN0212200000000,2.0,122.0,"Kenai Peninsula Borough, AK",Jun-17(p),"28,639","26,467","2,172",7.6,02122
41926,CN0213000000000,2.0,130.0,"Ketchikan Gateway Borough, AK",Jun-17(p),"7,949","7,516",433,5.4,02130
41927,CN0215000000000,2.0,150.0,"Kodiak Island Borough, AK",Jun-17(p),"6,392","6,051",341,5.3,02150
41928,CN0215800000000,2.0,158.0,"Kusilvak Census Area, AK",Jun-17(p),"2,630","2,007",623,23.7,02270
41929,CN0216400000000,2.0,164.0,"Lake and Peninsula Borough, AK",Jun-17(p),710,628,82,11.5,02164
41930,CN0217000000000,2.0,170.0,"Matanuska-Susitna Borough, AK",Jun-17(p),"47,430","43,358","4,072",8.6,02170
41931,CN0218000000000,2.0,180.0,"Nome Census Area, AK",Jun-17(p),"3,774","3,208",566,15.0,02180
41932,CN0218500000000,2.0,185.0,"North Slope Borough, AK",Jun-17(p),"3,531","3,232",299,8.5,02185
41933,CN0218800000000,2.0,188.0,"Northwest Arctic Borough, AK",Jun-17(p),"2,911","2,343",568,19.5,02188
41934,CN0219500000000,2.0,195.0,"Petersburg Borough, AK",Jun-17(p),"1,579","1,450",129,8.2,02195
41935,CN0219800000000,2.0,198.0,"Prince of Wales-Hyder Census Area, AK",Jun-17(p),"3,031","2,718",313,10.3,02198
41936,CN0222000000000,2.0,220.0,"Sitka Borough/city, AK",Jun-17(p),"4,695","4,480",215,4.6,02220
41937,CN0223000000000,2.0,230.0,"Skagway Municipality, AK",Jun-17(p),"1,065","1,028",37,3.5,02230
41938,CN0224000000000,2.0,240.0,"Southeast Fairbanks Census Area, AK",Jun-17(p),"3,184","2,905",279,8.8,02240
41939,CN0226100000000,2.0,261.0,"Valdez-Cordova Census Area, AK",Jun-17(p),"5,666","5,324",342,6.0,02261
41940,CN0227500000000,2.0,275.0,"Wrangell Borough/city, AK",Jun-17(p),"1,087","1,012",75,6.9,02275
41941,CN0228200000000,2.0,282.0,"Yakutat Borough/city, AK",Jun-17(p),290,266,24,8.3,02282
41942,CN0229000000000,2.0,290.0,"Yukon-Koyukuk Census Area, AK",Jun-17(p),"2,543","2,097",446,17.5,02290
41943,CN0400100000000,4.0,1.0,"Apache County, AZ",Jun-17(p),"19,656","17,368","2,288",11.6,04001
41944,CN0400300000000,4.0,3.0,"Cochise County, AZ",Jun-17(p),"50,666","47,766","2,900",5.7,04003
41945,CN0400500000000,4.0,5.0,"Coconino County, AZ",Jun-17(p),"76,158","71,760","4,398",5.8,04005
41946,CN0400700000000,4.0,7.0,"Gila County, AZ",Jun-17(p),"21,378","20,064","1,314",6.1,04007
41947,CN0400900000000,4.0,9.0,"Graham County, AZ",Jun-17(p),"14,222","13,344",878,6.2,04009
41948,CN0401100000000,4.0,11.0,"Greenlee County, AZ",Jun-17(p),"3,793","3,567",226,6.0,04011
41949,CN0401200000000,4.0,12.0,"La Paz County, AZ",Jun-17(p),"8,579","8,087",492,5.7,04012
41950,CN0401300000000,4.0,13.0,"Maricopa County, AZ",Jun-17(p),"2,134,026","2,038,538","95,488",4.5,04013
41951,CN0401500000000,4.0,15.0,"Mohave County, AZ",Jun-17(p),"82,446","77,382","5,064",6.1,04015
41952,CN0401700000000,4.0,17.0,"Navajo County, AZ",Jun-17(p),"43,287","39,984","3,303",7.6,04017
41953,CN0401900000000,4.0,19.0,"Pima County, AZ",Jun-17(p),"472,963","449,865","23,098",4.9,04019
41954,CN0402100000000,4.0,21.0,"Pinal County, AZ",Jun-17(p),"166,452","157,474","8,978",5.4,04021
41955,CN0402300000000,4.0,23.0,"Santa Cruz County, AZ",Jun-17(p),"19,229","17,424","1,805",9.4,04023
41956,CN0402500000000,4.0,25.0,"Yavapai County, AZ",Jun-17(p),"103,432","98,638","4,794",4.6,04025
41957,CN0402700000000,4.0,27.0,"Yuma County, AZ",Jun-17(p),"99,272","78,898","20,374",20.5,04027
41958,CN0500100000000,5.0,1.0,"Arkansas County, AR",Jun-17(p),"9,520","9,229",291,3.1,05001
41959,CN0500300000000,5.0,3.0,"Ashley County, AR",Jun-17(p),"8,099","7,642",457,5.6,05003
41960,CN0500500000000,5.0,5.0,"Baxter County, AR",Jun-17(p),"16,628","15,942",686,4.1,05005
41961,CN0500700000000,5.0,7.0,"Benton County, AR",Jun-17(p),"133,826","129,867","3,959",3.0,05007
41962,CN0500900000000,5.0,9.0,"Boone County, AR",Jun-17(p),"16,394","15,878",516,3.1,05009
41963,CN0501100000000,5.0,11.0,"Bradley County, AR",Jun-17(p),"4,704","4,503",201,4.3,05011
41964,CN0501300000000,5.0,13.0,"Calhoun County, AR",Jun-17(p),"2,478","2,383",95,3.8,05013
41965,CN0501500000000,5.0,15.0,"Carroll County, AR",Jun-17(p),"13,569","13,180",389,2.9,05015
41966,CN0501700000000,5.0,17.0,"Chicot County, AR",Jun-17(p),"3,700","3,485",215,5.8,05017
41967,CN0501900000000,5.0,19.0,"Clark County, AR",Jun-17(p),"9,552","9,131",421,4.4,05019
41968,CN0502100000000,5.0,21.0,"Clay County, AR",Jun-17(p),"6,085","5,818",267,4.4,05021
41969,CN0502300000000,5.0,23.0,"Cleburne County, AR",Jun-17(p),"9,671","9,238",433,4.5,05023
41970,CN0502500000000,5.0,25.0,"Cleveland County, AR",Jun-17(p),"3,415","3,262",153,4.5,05025
41971,CN0502700000000,5.0,27.0,"Columbia County, AR",Jun-17(p),"9,303","8,797",506,5.4,05027
41972,CN0502900000000,5.0,29.0,"Conway County, AR",Jun-17(p),"8,598","8,197",401,4.7,05029
41973,CN0503100000000,5.0,31.0,"Craighead County, AR",Jun-17(p),"54,406","52,709","1,697",3.1,05031
41974,CN0503300000000,5.0,33.0,"Crawford County, AR",Jun-17(p),"27,447","26,466",981,3.6,05033
41975,CN0503500000000,5.0,35.0,"Crittenden County, AR",Jun-17(p),"22,305","21,309",996,4.5,05035
41976,CN0503700000000,5.0,37.0,"Cross County, AR",Jun-17(p),"8,139","7,826",313,3.8,05037
41977,CN0503900000000,5.0,39.0,"Dallas County, AR",Jun-17(p),"3,088","2,946",142,4.6,05039
41978,CN0504100000000,5.0,41.0,"Desha County, AR",Jun-17(p),"5,598","5,318",280,5.0,05041
41979,CN0504300000000,5.0,43.0,"Drew County, AR",Jun-17(p),"8,055","7,640",415,5.2,05043
41980,CN0504500000000,5.0,45.0,"Faulkner County, AR",Jun-17(p),"62,175","60,089","2,086",3.4,05045
41981,CN0504700000000,5.0,47.0,"Franklin County, AR",Jun-17(p),"7,589","7,322",267,3.5,05047
41982,CN0504900000000,5.0,49.0,"Fulton County, AR",Jun-17(p),"4,977","4,782",195,3.9,05049
41983,CN0505100000000,5.0,51.0,"Garland County, AR",Jun-17(p),"42,208","40,512","1,696",4.0,05051
41984,CN0505300000000,5.0,53.0,"Grant County, AR",Jun-17(p),"8,564","8,288",276,3.2,05053
41985,CN0505500000000,5.0,55.0,"Greene County, AR",Jun-17(p),"20,352","19,566",786,3.9,05055
41986,CN0505700000000,5.0,57.0,"Hempstead County, AR",Jun-17(p),"10,403","10,046",357,3.4,05057
41987,CN0505900000000,5.0,59.0,"Hot Spring County, AR",Jun-17(p),"14,603","14,033",570,3.9,05059
41988,CN0506100000000,5.0,61.0,"Howard County, AR",Jun-17(p),"6,315","6,112",203,3.2,05061
41989,CN0506300000000,5.0,63.0,"Independence County, AR",Jun-17(p),"16,857","16,134",723,4.3,05063
41990,CN0506500000000,5.0,65.0,"Izard County, AR",Jun-17(p),"5,073","4,805",268,5.3,05065
41991,CN0506700000000,5.0,67.0,"Jackson County, AR",Jun-17(p),"6,212","5,872",340,5.5,05067
41992,CN0506900000000,5.0,69.0,"Jefferson County, AR",Jun-17(p),"29,021","27,495","1,526",5.3,05069
41993,CN0507100000000,5.0,71.0,"Johnson County, AR",Jun-17(p),"10,996","10,539",457,4.2,05071
41994,CN0507300000000,5.0,73.0,"Lafayette County, AR",Jun-17(p),"2,673","2,534",139,5.2,05073
41995,CN0507500000000,5.0,75.0,"Lawrence County, AR",Jun-17(p),"6,953","6,686",267,3.8,05075
41996,CN0507700000000,5.0,77.0,"Lee County, AR",Jun-17(p),"3,254","3,107",147,4.5,05077
41997,CN0507900000000,5.0,79.0,"Lincoln County, AR",Jun-17(p),"4,157","3,987",170,4.1,05079
41998,CN0508100000000,5.0,81.0,"Little River County, AR",Jun-17(p),"5,808","5,530",278,4.8,05081
41999,CN0508300000000,5.0,83.0,"Logan County, AR",Jun-17(p),"9,397","9,034",363,3.9,05083
42000,CN0508500000000,5.0,85.0,"Lonoke County, AR",Jun-17(p),"34,342","33,245","1,097",3.2,05085
42001,CN0508700000000,5.0,87.0,"Madison County, AR",Jun-17(p),"7,694","7,485",209,2.7,05087
42002,CN0508900000000,5.0,89.0,"Marion County, AR",Jun-17(p),"6,767","6,515",252,3.7,05089
42003,CN0509100000000,5.0,91.0,"Miller County, AR",Jun-17(p),"20,709","19,785",924,4.5,05091
42004,CN0509300000000,5.0,93.0,"Mississippi County, AR",Jun-17(p),"18,357","16,900","1,457",7.9,05093
42005,CN0509500000000,5.0,95.0,"Monroe County, AR",Jun-17(p),"3,007","2,889",118,3.9,05095
42006,CN0509700000000,5.0,97.0,"Montgomery County, AR",Jun-17(p),"3,560","3,407",153,4.3,05097
42007,CN0509900000000,5.0,99.0,"Nevada County, AR",Jun-17(p),"3,846","3,706",140,3.6,05099
42008,CN0510100000000,5.0,101.0,"Newton County, AR",Jun-17(p),"3,515","3,400",115,3.3,05101
42009,CN0510300000000,5.0,103.0,"Ouachita County, AR",Jun-17(p),"10,140","9,694",446,4.4,05103
42010,CN0510500000000,5.0,105.0,"Perry County, AR",Jun-17(p),"4,314","4,146",168,3.9,05105
42011,CN0510700000000,5.0,107.0,"Phillips County, AR",Jun-17(p),"6,802","6,410",392,5.8,05107
42012,CN0510900000000,5.0,109.0,"Pike County, AR",Jun-17(p),"4,534","4,350",184,4.1,05109
42013,CN0511100000000,5.0,111.0,"Poinsett County, AR",Jun-17(p),"10,690","10,242",448,4.2,05111
42014,CN0511300000000,5.0,113.0,"Polk County, AR",Jun-17(p),"8,477","8,121",356,4.2,05113
42015,CN0511500000000,5.0,115.0,"Pope County, AR",Jun-17(p),"29,917","28,574","1,343",4.5,05115
42016,CN0511700000000,5.0,117.0,"Prairie County, AR",Jun-17(p),"3,849","3,698",151,3.9,05117
42017,CN0511900000000,5.0,119.0,"Pulaski County, AR",Jun-17(p),"193,364","186,812","6,552",3.4,05119
42018,CN0512100000000,5.0,121.0,"Randolph County, AR",Jun-17(p),"7,013","6,728",285,4.1,05121
42019,CN0512300000000,5.0,123.0,"St. Francis County, AR",Jun-17(p),"9,071","8,619",452,5.0,05123
42020,CN0512500000000,5.0,125.0,"Saline County, AR",Jun-17(p),"58,272","56,511","1,761",3.0,05125
42021,CN0512700000000,5.0,127.0,"Scott County, AR",Jun-17(p),"4,700","4,546",154,3.3,05127
42022,CN0512900000000,5.0,129.0,"Searcy County, AR",Jun-17(p),"3,153","3,019",134,4.2,05129
42023,CN0513100000000,5.0,131.0,"Sebastian County, AR",Jun-17(p),"59,255","57,139","2,116",3.6,05131
42024,CN0513300000000,5.0,133.0,"Sevier County, AR",Jun-17(p),"5,932","5,675",257,4.3,05133
42025,CN0513500000000,5.0,135.0,"Sharp County, AR",Jun-17(p),"6,384","6,087",297,4.7,05135
42026,CN0513700000000,5.0,137.0,"Stone County, AR",Jun-17(p),"4,986","4,759",227,4.6,05137
42027,CN0513900000000,5.0,139.0,"Union County, AR",Jun-17(p),"16,568","15,626",942,5.7,05139
42028,CN0514100000000,5.0,141.0,"Van Buren County, AR",Jun-17(p),"6,066","5,750",316,5.2,05141
42029,CN0514300000000,5.0,143.0,"Washington County, AR",Jun-17(p),"126,387","123,125","3,262",2.6,05143
42030,CN0514500000000,5.0,145.0,"White County, AR",Jun-17(p),"34,626","33,081","1,545",4.5,05145
42031,CN0514700000000,5.0,147.0,"Woodruff County, AR",Jun-17(p),"3,058","2,920",138,4.5,05147
42032,CN0514900000000,5.0,149.0,"Yell County, AR",Jun-17(p),"9,000","8,638",362,4.0,05149
42033,CN0600100000000,6.0,1.0,"Alameda County, CA",Jun-17(p),"836,942","803,603","33,339",4.0,06001
42034,CN0600300000000,6.0,3.0,"Alpine County, CA",Jun-17(p),506,463,43,8.5,06003
42035,CN0600500000000,6.0,5.0,"Amador County, CA",Jun-17(p),"14,950","14,209",741,5.0,06005
42036,CN0600700000000,6.0,7.0,"Butte County, CA",Jun-17(p),"102,422","96,189","6,233",6.1,06007
42037,CN0600900000000,6.0,9.0,"Calaveras County, CA",Jun-17(p),"21,206","20,151","1,055",5.0,06009
42038,CN0601100000000,6.0,11.0,"Colusa County, CA",Jun-17(p),"10,886","9,587","1,299",11.9,06011
42039,CN0601300000000,6.0,13.0,"Contra Costa County, CA",Jun-17(p),"555,395","532,287","23,108",4.2,06013
42040,CN0601500000000,6.0,15.0,"Del Norte County, CA",Jun-17(p),"9,664","9,044",620,6.4,06015
42041,CN0601700000000,6.0,17.0,"El Dorado County, CA",Jun-17(p),"89,433","85,323","4,110",4.6,06017
42042,CN0601900000000,6.0,19.0,"Fresno County, CA",Jun-17(p),"449,133","411,416","37,717",8.4,06019
42043,CN0602100000000,6.0,21.0,"Glenn County, CA",Jun-17(p),"13,086","12,075","1,011",7.7,06021
42044,CN0602300000000,6.0,23.0,"Humboldt County, CA",Jun-17(p),"62,294","59,515","2,779",4.5,06023
42045,CN0602500000000,6.0,25.0,"Imperial County, CA",Jun-17(p),"73,677","58,389","15,288",20.8,06025
42046,CN0602700000000,6.0,27.0,"Inyo County, CA",Jun-17(p),"8,993","8,610",383,4.3,06027
42047,CN0602900000000,6.0,29.0,"Kern County, CA",Jun-17(p),"384,158","347,502","36,656",9.5,06029
42048,CN0603100000000,6.0,31.0,"Kings County, CA",Jun-17(p),"56,718","51,527","5,191",9.2,06031
42049,CN0603300000000,6.0,33.0,"Lake County, CA",Jun-17(p),"29,601","27,915","1,686",5.7,06033
42050,CN0603500000000,6.0,35.0,"Lassen County, CA",Jun-17(p),"10,251","9,679",572,5.6,06035
42051,CN0603700000000,6.0,37.0,"Los Angeles County, CA",Jun-17(p),"5,102,609","4,872,766","229,843",4.5,06037
42052,CN0603900000000,6.0,39.0,"Madera County, CA",Jun-17(p),"61,445","56,489","4,956",8.1,06039
42053,CN0604100000000,6.0,41.0,"Marin County, CA",Jun-17(p),"140,163","135,788","4,375",3.1,06041
42054,CN0604300000000,6.0,43.0,"Mariposa County, CA",Jun-17(p),"8,135","7,739",396,4.9,06043
42055,CN0604500000000,6.0,45.0,"Mendocino County, CA",Jun-17(p),"39,769","38,007","1,762",4.4,06045
42056,CN0604700000000,6.0,47.0,"Merced County, CA",Jun-17(p),"115,360","104,550","10,810",9.4,06047
42057,CN0604900000000,6.0,49.0,"Modoc County, CA",Jun-17(p),"3,543","3,315",228,6.4,06049
42058,CN0605100000000,6.0,51.0,"Mono County, CA",Jun-17(p),"8,277","7,853",424,5.1,06051
42059,CN0605300000000,6.0,53.0,"Monterey County, CA",Jun-17(p),"228,264","215,643","12,621",5.5,06053
42060,CN0605500000000,6.0,55.0,"Napa County, CA",Jun-17(p),"74,950","72,251","2,699",3.6,06055
42061,CN0605700000000,6.0,57.0,"Nevada County, CA",Jun-17(p),"47,435","45,398","2,037",4.3,06057
42062,CN0605900000000,6.0,59.0,"Orange County, CA",Jun-17(p),"1,584,266","1,523,483","60,783",3.8,06059
42063,CN0606100000000,6.0,61.0,"Placer County, CA",Jun-17(p),"179,732","172,262","7,470",4.2,06061
42064,CN0606300000000,6.0,63.0,"Plumas County, CA",Jun-17(p),"8,085","7,518",567,7.0,06063
42065,CN0606500000000,6.0,65.0,"Riverside County, CA",Jun-17(p),"1,053,093","993,530","59,563",5.7,06065
42066,CN0606700000000,6.0,67.0,"Sacramento County, CA",Jun-17(p),"697,122","662,194","34,928",5.0,06067
42067,CN0606900000000,6.0,69.0,"San Benito County, CA",Jun-17(p),"29,539","27,805","1,734",5.9,06069
42068,CN0607100000000,6.0,71.0,"San Bernardino County, CA",Jun-17(p),"937,216","886,423","50,793",5.4,06071
42069,CN0607300000000,6.0,73.0,"San Diego County, CA",Jun-17(p),"1,562,475","1,494,698","67,777",4.3,06073
42070,CN0607500000000,6.0,75.0,"San Francisco County/city, CA",Jun-17(p),"559,837","542,111","17,726",3.2,06075
42071,CN0607700000000,6.0,77.0,"San Joaquin County, CA",Jun-17(p),"315,916","292,813","23,103",7.3,06077
42072,CN0607900000000,6.0,79.0,"San Luis Obispo County, CA",Jun-17(p),"142,690","137,332","5,358",3.8,06079
42073,CN0608100000000,6.0,81.0,"San Mateo County, CA",Jun-17(p),"448,397","435,283","13,114",2.9,06081
42074,CN0608300000000,6.0,83.0,"Santa Barbara County, CA",Jun-17(p),"217,246","207,832","9,414",4.3,06083
42075,CN0608500000000,6.0,85.0,"Santa Clara County, CA",Jun-17(p),"1,022,731","986,824","35,907",3.5,06085
42076,CN0608700000000,6.0,87.0,"Santa Cruz County, CA",Jun-17(p),"147,345","139,512","7,833",5.3,06087
42077,CN0608900000000,6.0,89.0,"Shasta County, CA",Jun-17(p),"75,861","71,460","4,401",5.8,06089
42078,CN0609100000000,6.0,91.0,"Sierra County, CA",Jun-17(p),"1,390","1,311",79,5.7,06091
42079,CN0609300000000,6.0,93.0,"Siskiyou County, CA",Jun-17(p),"18,219","17,026","1,193",6.5,06093
42080,CN0609500000000,6.0,95.0,"Solano County, CA",Jun-17(p),"205,937","195,490","10,447",5.1,06095
42081,CN0609700000000,6.0,97.0,"Sonoma County, CA",Jun-17(p),"259,851","250,473","9,378",3.6,06097
42082,CN0609900000000,6.0,99.0,"Stanislaus County, CA",Jun-17(p),"247,001","227,682","19,319",7.8,06099
42083,CN0610100000000,6.0,101.0,"Sutter County, CA",Jun-17(p),"46,049","42,207","3,842",8.3,06101
42084,CN0610300000000,6.0,103.0,"Tehama County, CA",Jun-17(p),"25,681","23,991","1,690",6.6,06103
42085,CN0610500000000,6.0,105.0,"Trinity County, CA",Jun-17(p),"5,271","4,969",302,5.7,06105
42086,CN0610700000000,6.0,107.0,"Tulare County, CA",Jun-17(p),"209,230","188,564","20,666",9.9,06107
42087,CN0610900000000,6.0,109.0,"Tuolumne County, CA",Jun-17(p),"22,126","20,965","1,161",5.2,06109
42088,CN0611100000000,6.0,111.0,"Ventura County, CA",Jun-17(p),"429,348","410,105","19,243",4.5,06111
42089,CN0611300000000,6.0,113.0,"Yolo County, CA",Jun-17(p),"106,194","100,755","5,439",5.1,06113
42090,CN0611500000000,6.0,115.0,"Yuba County, CA",Jun-17(p),"28,556","26,407","2,149",7.5,06115
42091,CN0800100000000,8.0,1.0,"Adams County, CO",Jun-17(p),"263,012","255,700","7,312",2.8,08001
42092,CN0800300000000,8.0,3.0,"Alamosa County, CO",Jun-17(p),"7,929","7,682",247,3.1,08003
