Name,Year,Population total,Median Age,Total Housing Units,Vacant Housing Units,Occupied Housing Units,Real Median Income,Household size,Vacant units per person
"Alamance County, North Carolina",2015,155258,39.2,67804,6259,61545,41814,2.52267446584,0.0403135426194
"Alameda County, California",2009,1457095,36.1,563011,42915,520096,68863,2.80158855288,0.0294524378987
"Alameda County, California",2012,1515136,36.6,581859,42680,539179,71516,2.81007976943,0.0281690884515
"Alameda County, California",2015,1584983,37.1,589858,30951,558907,75619,2.83586178022,0.0195276542398
"Alamosa County, Colorado",2009,15353,31.5,6495,686,5809,32362,2.64296780857,0.0446818211424
"Alamosa County, Colorado",2012,15750,32.2,6572,719,5853,38045,2.69092772937,0.0456507936508
"Alamosa County, Colorado",2015,16269,30.1,6673,741,5932,32395,2.74258260283,0.0455467453439
"Albany County, New York",2009,298341,38,133501,10976,122525,55350,2.4349398082,0.0367901160082
"Albany County, New York",2012,304511,38.2,137426,14752,122674,59359,2.48227823337,0.0484448837645
"Albany County, New York",2015,307463,37.9,138081,14630,123451,59887,2.4905671076,0.0475829612018
"Albany County, Wyoming",2009,32985,24.5,17108,2915,14193,40116,2.324032974,0.0883735031075
"Albany County, Wyoming",2012,36186,26.8,18004,2983,15021,42882,2.40902736169,0.0824351959321
"Albany County, Wyoming",2015,37565,26.6,18537,2875,15662,42834,2.39848039842,0.07653400772
"Albemarle County, Virginia",2009,92866,36.6,40542,3648,36894,64306,2.51710305199,0.0392824069089
"Albemarle County, Virginia",2012,99484,38.2,42332,4783,37549,67797,2.64944472556,0.0480780829078
"Albemarle County, Virginia",2015,103108,38.6,43579,4726,38853,68449,2.65379764754,0.0458354346898
"Alcona County, Michigan",2009,11361,53.8,11169,6395,4774,35014,2.37976539589,0.562890590617
"Alcona County, Michigan",2012,10943,55.3,11066,6326,4740,36931,2.30864978903,0.578086447958
"Alcona County, Michigan",2015,10550,56.6,11056,6055,5001,38033,2.10957808438,0.573933649289
"Alcorn County, Mississippi",2009,35583,38.8,16493,2856,13637,31826,2.60929823275,0.0802630469606
"Alcorn County, Mississippi",2012,37027,39.4,17039,2875,14164,32846,2.61416266591,0.0776460420774
"Alcorn County, Mississippi",2015,37319,39.9,17100,2294,14806,36163,2.52053221667,0.0614700286717
"Aleutians East Borough, Alaska",2009,2959,37.2,581,226,355,56250,8.33521126761,0.0763771544441
"Aleutians East Borough, Alaska",2012,3114,40.7,597,203,394,58125,7.90355329949,0.0651894669236
"Aleutians East Borough, Alaska",2015,3304,42.4,894,204,690,61518,4.7884057971,0.0617433414044
"Aleutians West Census Area, Alaska",2009,5505,40.8,1706,1143,563,72989,9.77797513321,0.207629427793
"Aleutians West Census Area, Alaska",2012,5507,39.1,1949,958,991,77292,5.55701311806,0.173960414019
"Aleutians West Census Area, Alaska",2015,5684,36.8,1944,806,1138,84306,4.99472759227,0.141801548205
"Alexander County, Illinois",2009,8254,43,4643,1040,3603,28983,2.29086872051,0.125999515386
"Alexander County, Illinois",2012,8147,41,4033,949,3084,27248,2.64169909209,0.116484595557
"Alexander County, Illinois",2015,7364,39.7,3969,1325,2644,27265,2.78517397882,0.179929386203
"Alexander County, North Carolina",2009,36278,39.9,15399,2260,13139,41520,2.76109292945,0.0622967087491
"Alexander County, North Carolina",2012,37014,41.1,16119,2366,13753,39544,2.69134007126,0.0639217593343
"Alexander County, North Carolina",2015,37158,42.1,16177,2596,13581,39365,2.7360282748,0.0698638247484
"Alexandria city, Virginia",2009,142131,35.2,69973,7113,62860,80186,2.26107222399,0.0500453806699
"Alexandria city, Virginia",2012,140337,35.7,72460,7731,64729,83996,2.16806995319,0.0550888219073
"Alexandria city, Virginia",2015,149315,36,74317,7438,66879,89134,2.23261412402,0.0498141512909
"Alfalfa County, Oklahoma",2009,5571,45,2858,765,2093,39641,2.66172957477,0.13731825525
"Alfalfa County, Oklahoma",2012,5631,46,2765,718,2047,41943,2.75085490962,0.127508435447
"Alfalfa County, Oklahoma",2015,5755,44.7,2753,681,2072,50156,2.77750965251,0.118331885317
"Alger County, Michigan",2009,9512,46.1,6566,2794,3772,41234,2.52173913043,0.293734230446
"Alger County, Michigan",2012,9531,47.5,6559,3001,3558,38348,2.67875210793,0.314867275207
"Alger County, Michigan",2015,9476,48.7,6581,3111,3470,39300,2.73083573487,0.328303081469
"Allamakee County, Iowa",2009,14421,43.1,7577,1570,6007,43904,2.40069918429,0.108869010471
"Allamakee County, Iowa",2012,14285,44.2,7617,1812,5805,47539,2.46080964686,0.126846342317
"Allamakee County, Iowa",2015,14060,45.1,7626,1578,6048,45890,2.32473544974,0.112233285917
"Allegan County, Michigan",2009,112817,37.7,48371,6428,41943,51833,2.68976944901,0.0569772286092
"Allegan County, Michigan",2012,111589,39,49388,7430,41958,51030,2.65954049287,0.0665836238339
"Allegan County, Michigan",2015,112837,40,49692,7799,41893,54264,2.69345714081,0.0691173994346
"Allegany County, Maryland",2009,72598,40.5,33256,4228,29028,36810,2.50096458592,0.0582385189675
"Allegany County, Maryland",2012,74645,41,33304,4767,28537,39087,2.61572695098,0.0638622814656
"Allegany County, Maryland",2015,73549,41.5,33262,4938,28324,40551,2.59670244316,0.0671389141933
"Allegany County, New York",2009,49391,36.3,25047,6401,18646,40917,2.64887911616,0.12959850985
"Allegany County, New York",2012,48837,37.8,26046,7203,18843,42095,2.59178474765,0.147490632103
"Allegany County, New York",2015,48070,38.3,26024,7739,18285,42776,2.62893081761,0.160994383191
"Alleghany County, North Carolina",2009,10905,45,7185,2392,4793,32541,2.27519298978,0.219348922513
"Alleghany County, North Carolina",2012,11069,46,8050,3256,4794,32449,2.30892782645,0.29415484687
"Alleghany County, North Carolina",2015,10911,47.2,8128,3358,4770,36968,2.28742138365,0.307762808175
"Alleghany County, Virginia",2009,16397,44.1,8062,926,7136,42005,2.29778587444,0.0564737451973
"Alleghany County, Virginia",2012,16297,46.1,8064,1213,6851,46133,2.3787768209,0.0744308768485
"Alleghany County, Virginia",2015,16066,47.2,8063,1282,6781,45007,2.36926706975,0.0797958421511
"Allegheny County, Pennsylvania",2009,1222473,40.8,592006,67422,524584,46641,2.33036653806,0.0551521383294
"Allegheny County, Pennsylvania",2012,1224772,41.2,589171,64779,524392,50664,2.33560389937,0.0528906604658
"Allegheny County, Pennsylvania",2015,1231145,40.9,589681,60147,529534,53040,2.32495930384,0.0488545216039
"Allen County, Indiana",2009,348646,35.1,152002,15983,136019,47901,2.56321543314,0.0458430614434
"Allen County, Indiana",2012,355940,35.4,152340,15143,137197,50030,2.59437159705,0.0425436871383
"Allen County, Indiana",2015,363453,35.6,153860,13324,140536,49092,2.58619143849,0.0366594855456
"Allen County, Kansas",2009,13403,40.7,6516,784,5732,39328,2.33827634334,0.0584943669328
"Allen County, Kansas",2012,13364,40.8,6235,658,5577,39714,2.39627039627,0.0492367554624
"Allen County, Kansas",2015,13081,41.2,6247,941,5306,38698,2.46532227667,0.0719363963
"Allen County, Kentucky",2009,18799,37.4,8467,1368,7099,33929,2.64811945344,0.0727698281824
"Allen County, Kentucky",2012,20007,39.3,9263,1283,7980,36123,2.50714285714,0.0641275553556
"Allen County, Kentucky",2015,20355,40.3,9323,1549,7774,41326,2.61834319527,0.0760992385163
"Allen County, Ohio",2009,104946,37.9,45393,4432,40961,43433,2.56209565196,0.0422312427344
"Allen County, Ohio",2012,106079,38.1,44995,4373,40622,43194,2.61136822412,0.0412239934389
"Allen County, Ohio",2015,105196,38.1,44859,4873,39986,44103,2.63082078728,0.0463230541085
"Allen Parish, Louisiana",2009,25528,35.2,9562,1164,8398,36463,3.03977137414,0.0455969915387
"Allen Parish, Louisiana",2012,25740,38.5,9725,1422,8303,38899,3.10008430688,0.0552447552448
"Allen Parish, Louisiana",2015,25653,38.5,9781,1754,8027,40948,3.19583904323,0.0683740693096
"Allendale County, South Carolina",2009,10459,37,4652,1182,3470,20551,3.01412103746,0.113012716321
"Allendale County, South Carolina",2012,10399,38.3,4484,1042,3442,25966,3.02120859965,0.100201942494
"Allendale County, South Carolina",2015,9838,38.7,4448,1102,3346,25327,2.94022713688,0.112014637121
"Alpena County, Michigan",2009,29718,44.8,15615,2555,13060,36261,2.27549770291,0.0859748300693
"Alpena County, Michigan",2012,29602,45.8,16020,2922,13098,38900,2.26003970072,0.0987095466523
"Alpena County, Michigan",2015,29068,47.1,15983,3261,12722,38829,2.28486087093,0.112185220861
"Alpine County, California",2009,1153,39.5,1752,1308,444,54605,2.59684684685,1.13443191674
"Alpine County, California",2012,1197,43.2,1815,1430,385,59931,3.10909090909,1.19465329992
"Alpine County, California",2015,1131,43.6,1801,1443,358,52917,3.15921787709,1.27586206897
"Amador County, California",2009,38039,46.3,17238,2874,14364,57347,2.64821776664,0.0755540366466
"Amador County, California",2012,37764,48.4,18017,3781,14236,53462,2.6527114358,0.10012180913
"Amador County, California",2015,36995,50,18184,4259,13925,54171,2.65673249551,0.11512366536
"Amelia County, Virginia",2009,12581,41.5,5336,471,4865,48897,2.58602261048,0.0374374056116
"Amelia County, Virginia",2012,12674,41.6,5369,592,4777,50596,2.65312957923,0.0467097995897
"Amelia County, Virginia",2015,12777,45.8,5414,710,4704,56850,2.71619897959,0.0555685998278
"Amherst County, Virginia",2009,32185,40.5,13787,1099,12688,45947,2.53664880202,0.0341463414634
"Amherst County, Virginia",2012,32301,42.4,13972,1289,12683,45020,2.54679492234,0.0399058852667
"Amherst County, Virginia",2015,32148,43.6,14058,1556,12502,47558,2.57142857143,0.0484011447057
"Amite County, Mississippi",2009,13293,41.4,6821,1643,5178,27728,2.56720741599,0.123598886632
"Amite County, Mississippi",2012,13139,44.3,6638,1447,5191,30471,2.5311115392,0.110130146891
"Amite County, Mississippi",2015,12840,45.3,6636,1651,4985,30704,2.57572718154,0.128582554517
"Anchorage Municipality, Alaska",2009,280389,32.2,110982,7380,103602,70151,2.70640528175,0.0263205760568
"Anchorage Municipality, Alaska",2012,291470,32.9,113070,7553,105517,76495,2.76230370462,0.0259134730847
"Anchorage Municipality, Alaska",2015,299107,32.5,114083,8908,105175,78326,2.8438982648,0.0297819843735
"Anderson County, Kansas",2009,7900,41.4,3723,608,3115,40212,2.53611556982,0.0769620253165
"Anderson County, Kansas",2012,8066,43,3722,442,3280,43060,2.45914634146,0.0547979171832
"Anderson County, Kansas",2015,7896,41.7,3712,432,3280,40696,2.40731707317,0.0547112462006
"Anderson County, Kentucky",2009,21122,37.8,8958,744,8214,51164,2.57146335525,0.0352239371272
"Anderson County, Kentucky",2012,21442,38.3,9138,769,8369,52294,2.5620743219,0.0358641917732
"Anderson County, Kentucky",2015,21761,39.9,9222,776,8446,53974,2.57648591049,0.0356601259133
"Anderson County, South Carolina",2009,179914,38.9,82326,11729,70597,43109,2.54846523223,0.0651922585235
"Anderson County, South Carolina",2012,187228,40,84707,11697,73010,42659,2.56441583345,0.0624746298631
"Anderson County, South Carolina",2015,191215,40.5,85296,11273,74023,42143,2.5831836051,0.0589545799231
"Anderson County, Tennessee",2009,73382,41.1,34159,3308,30851,42643,2.37859388675,0.0450791747295
"Anderson County, Tennessee",2012,75039,42.4,34713,3843,30870,44154,2.43080660836,0.0512133690481
"Anderson County, Tennessee",2015,75430,43.2,34767,4155,30612,42880,2.4640663792,0.0550841840117
"Anderson County, Texas",2009,56575,37.2,19366,3869,15497,39355,3.65070658837,0.0683870967742
"Anderson County, Texas",2012,58269,38.8,20089,3844,16245,41471,3.58688827331,0.0659698982306
"Anderson County, Texas",2015,57915,38.9,20134,3397,16737,41327,3.46029754436,0.0586549253216
"Andrew County, Missouri",2009,16831,39.9,6986,487,6499,52330,2.58978304355,0.0289347038203
"Andrew County, Missouri",2012,17205,41.9,7285,587,6698,57406,2.56867721708,0.0341179889567
"Andrew County, Missouri",2015,17328,42.3,7303,495,6808,55613,2.54524089307,0.0285664819945
"Andrews County, Texas",2009,13295,34.1,5657,538,5119,47227,2.59718695058,0.0404663407296
"Andrews County, Texas",2012,15006,33.8,5833,650,5183,55327,2.89523442022,0.0433160069306
"Andrews County, Texas",2015,16775,31.3,6013,537,5476,70423,3.06336742148,0.0320119225037
"Androscoggin County, Maine",2009,106765,39.2,48330,4840,43490,43714,2.45493216831,0.0453332084485
"Androscoggin County, Maine",2012,107766,39.8,49108,4954,44154,44826,2.44068487566,0.0459699719763
"Androscoggin County, Maine",2015,107393,40.6,49164,4528,44636,47537,2.40597275742,0.0421628970231
"Angelina County, Texas",2009,82465,35.4,34300,4053,30247,38862,2.72638608788,0.0491481234463
"Angelina County, Texas",2012,86550,36.2,35614,4768,30846,40150,2.80587434351,0.0550895436164
"Angelina County, Texas",2015,87748,36.4,36070,5487,30583,44223,2.86917568584,0.0625313397456
"Anne Arundel County, Maryland",2009,513711,37.6,202510,12202,190308,81824,2.69936629043,0.0237526547027
"Anne Arundel County, Maryland",2012,538473,38.4,212860,14099,198761,86987,2.70914817293,0.0261832998126
"Anne Arundel County, Maryland",2015,555280,38.4,217545,14209,203336,89860,2.73084943148,0.0255888920905
"Anoka County, Minnesota",2009,326489,36,123706,5189,118517,69407,2.7547862332,0.0158933379072
"Anoka County, Minnesota",2012,331649,37.1,126892,5296,121596,69916,2.72746636403,0.0159686897895
"Anoka County, Minnesota",2015,338764,37.9,128780,4303,124477,70873,2.72149875077,0.0127020580699
"Anson County, North Carolina",2009,25243,39.2,10594,1702,8892,33706,2.83884390463,0.0674246325714
"Anson County, North Carolina",2012,26699,39.5,11515,1896,9619,34772,2.77565235471,0.0710138956515
"Anson County, North Carolina",2015,26135,39.7,11528,2017,9511,33228,2.74787088634,0.0771762004974
"Antelope County, Nebraska",2009,6729,45,3360,505,2855,35883,2.35691768827,0.0750482984099
"Antelope County, Nebraska",2012,6655,46.5,3287,451,2836,40397,2.34661495063,0.0677685950413
"Antelope County, Nebraska",2015,6486,46.5,3261,440,2821,45609,2.29918468628,0.0678384212149
"Antrim County, Michigan",2009,24088,45.1,16552,6811,9741,43167,2.47284673032,0.282754898705
"Antrim County, Michigan",2012,23634,48,17749,8030,9719,43171,2.43173165964,0.339764745705
"Antrim County, Michigan",2015,23267,49.5,17811,8122,9689,46845,2.40138301166,0.349078093437
"Apache County, Arizona",2009,69341,30.2,32552,13705,18847,28378,3.67915318088,0.197646414098
"Apache County, Arizona",2012,71618,32.1,32548,13513,19035,31615,3.76243761492,0.188681616353
"Apache County, Arizona",2015,72124,33.4,32661,13389,19272,31757,3.74242424242,0.185638622373
"Appanoose County, Iowa",2009,12975,43.1,6750,984,5766,32943,2.25026014568,0.075838150289
"Appanoose County, Iowa",2012,12858,44.2,6629,1148,5481,37866,2.34592227696,0.0892829366931
"Appanoose County, Iowa",2015,12669,44.7,6596,1115,5481,41394,2.31143951834,0.088010103402
"Appling County, Georgia",2009,17871,37.4,8064,1258,6806,33537,2.6257713782,0.0703933747412
"Appling County, Georgia",2012,18279,38.8,8485,1438,7047,35875,2.5938697318,0.0786695114612
"Appling County, Georgia",2015,18417,38.6,8434,1622,6812,37135,2.70361127422,0.0880708041483
"Appomattox County, Virginia",2009,14218,42.2,6468,740,5728,47412,2.48219273743,0.0520467013645
"Appomattox County, Virginia",2012,14952,42.3,6903,1001,5902,50092,2.53337851576,0.0669475655431
"Appomattox County, Virginia",2015,15208,42.3,7051,1120,5931,48823,2.56415444276,0.0736454497633
"Aransas County, Texas",2009,24499,46,14520,4554,9966,41172,2.45825807746,0.185885138169
"Aransas County, Texas",2012,23391,48.3,15330,5505,9825,44769,2.38076335878,0.235346928306
"Aransas County, Texas",2015,24292,49,15614,5932,9682,41690,2.50898574675,0.244195619957
"Arapahoe County, Colorado",2009,544157,35.5,229072,16607,212465,58968,2.56116066176,0.0305187657239
"Arapahoe County, Colorado",2012,574357,35.7,238160,14413,223747,60400,2.566993077,0.0250941487611
"Arapahoe County, Colorado",2015,608310,36.1,241431,11830,229601,63265,2.64942225861,0.0194473212671
"Archer County, Texas",2009,8936,40.9,4017,669,3348,51792,2.66905615293,0.0748657117278
"Archer County, Texas",2012,8944,42.9,4110,780,3330,56250,2.68588588589,0.0872093023256
"Archer County, Texas",2015,8779,44.1,4129,779,3350,60275,2.62059701493,0.0887344800091
"Archuleta County, Colorado",2009,12225,21.7,8247,5533,2714,54909,4.50442151805,0.452597137014
"Archuleta County, Colorado",2012,12109,47.5,8742,4206,4536,54007,2.66953262787,0.347344950037
"Archuleta County, Colorado",2015,12174,49.6,8879,3545,5334,46646,2.28233970754,0.291194348612
"Arecibo Municipio, Puerto Rico",2009,102429,36.9,38749,7445,31304,16158,3.27207385638,0.0726844936493
"Arecibo Municipio, Puerto Rico",2012,96176,38.7,40017,8116,31901,17077,3.01482712141,0.0843869572451
"Arecibo Municipio, Puerto Rico",2015,92511,40.2,41472,9185,32287,16485,2.86527085205,0.0992854903741
"Arenac County, Michigan",2009,16561,44.6,10105,3175,6930,36299,2.38975468975,0.191715476119
"Arenac County, Michigan",2012,15952,46.7,9824,3389,6435,36937,2.47894327894,0.212449849549
"Arenac County, Michigan",2015,15424,48.4,9767,3320,6447,38307,2.39243058787,0.215248962656
"Arkansas County, Arkansas",2009,19385,42,9932,1544,8388,36341,2.31103958035,0.0796492133093
"Arkansas County, Arkansas",2012,19029,41.5,9462,1465,7997,39883,2.37951731899,0.076987755531
"Arkansas County, Arkansas",2015,18731,41.4,9444,1701,7743,36411,2.4190882087,0.0908120228498
"Arlington County, Virginia",2009,206405,33.4,100724,10421,90303,93806,2.28569372003,0.0504881180204
"Arlington County, Virginia",2012,209077,33.7,105395,12403,92992,102459,2.24833318995,0.0593226418975
"Arlington County, Virginia",2015,223945,33.9,109443,11002,98441,105763,2.2749159395,0.0491281341401
"Armstrong County, Pennsylvania",2009,68806,43.8,32799,3772,29027,41075,2.37041375271,0.0548208005116
"Armstrong County, Pennsylvania",2012,68942,44.6,32517,3793,28724,44478,2.40015318201,0.055017260886
"Armstrong County, Pennsylvania",2015,67979,45.6,32411,3887,28524,44942,2.3832211471,0.0571794230571
"Armstrong County, Texas",2009,2014,44.7,954,185,769,58516,2.61898569571,0.091857000993
"Armstrong County, Texas",2012,1820,44.8,897,229,668,56974,2.7245508982,0.125824175824
"Armstrong County, Texas",2015,1943,45.1,933,219,714,59737,2.72128851541,0.112712300566
"Aroostook County, Maine",2009,71974,43.7,39473,8813,30660,35439,2.34748858447,0.122446994748
"Aroostook County, Maine",2012,71757,45.2,39519,9087,30432,37434,2.3579455836,0.126635728918
"Aroostook County, Maine",2015,70005,46.6,39477,9122,30355,36923,2.30620985011,0.130304978216
"Arroyo Municipio, Puerto Rico",2009,18997,34.6,7697,1500,6197,14887,3.06551557205,0.0789598357635
"Arroyo Municipio, Puerto Rico",2012,19542,35.2,8053,1994,6059,16114,3.22528470045,0.102036639034
"Arroyo Municipio, Puerto Rico",2015,19018,37.2,8564,2283,6281,15298,3.02786180544,0.120044168682
