,1979-1988 Mean,1979-1988 Change,1989-1999 Mean,1989-1999 Change,2000-2013 Mean,2000-2013 Change,2014-2017 Mean,2014-2017 Change,1979-2017 Mean,1979-2017 Change
Female: 16-24: College or Advanced,0.82,0.03,0.82,-0.05,0.77,-0.06,0.76,0.02,0.8,-0.03
Female: 25-34: LTHS,0.4,0.03,0.41,0.01,0.42,-0.09,0.39,0.05,0.41,0.0
Female: 25-34: HS,0.62,0.08,0.67,0.02,0.63,-0.12,0.59,0.02,0.63,0.02
Female: 25-34: Some college,0.69,0.1,0.75,0.03,0.72,-0.07,0.72,0.03,0.72,0.1
Female: 25-34: College,0.77,0.11,0.82,0.0,0.79,-0.02,0.8,0.01,0.8,0.09
Female: 25-34: Advanced,0.81,0.03,0.85,0.03,0.83,-0.01,0.83,0.03,0.83,0.06
Female: 25-34: LTHS or HS,0.56,0.07,0.61,0.01,0.57,-0.11,0.55,0.03,0.58,0.03
Female: 25-34: College or Advanced,0.78,0.09,0.82,0.01,0.81,-0.01,0.81,0.02,0.8,0.09
Female: 35-44: LTHS,0.49,0.03,0.5,0.01,0.49,-0.08,0.46,0.01,0.49,-0.01
Female: 35-44: HS,0.67,0.09,0.72,0.01,0.69,-0.11,0.64,-0.01,0.69,0.02
Female: 35-44: Some college,0.71,0.11,0.77,0.01,0.75,-0.08,0.73,0.02,0.75,0.08
Female: 35-44: College,0.72,0.12,0.79,0.01,0.76,-0.02,0.77,0.0,0.76,0.1
Female: 35-44: Advanced,0.83,0.06,0.86,-0.04,0.82,-0.01,0.84,0.01,0.84,0.03
Female: 35-44: LTHS or HS,0.61,0.09,0.67,0.01,0.64,-0.1,0.59,-0.01,0.64,0.02
Female: 35-44: College or Advanced,0.75,0.11,0.81,-0.01,0.78,-0.01,0.8,0.01,0.78,0.09
Female: 45-54: LTHS,0.45,0.03,0.47,0.02,0.46,-0.08,0.45,0.01,0.46,0.01
Female: 45-54: HS,0.62,0.09,0.7,0.02,0.69,-0.06,0.65,-0.01,0.67,0.07
Female: 45-54: Some college,0.68,0.12,0.77,0.04,0.76,-0.06,0.73,0.01,0.74,0.12
Female: 45-54: College,0.71,0.13,0.8,0.04,0.79,-0.03,0.79,0.0,0.77,0.13
Female: 45-54: Advanced,0.86,0.04,0.89,0.01,0.86,-0.04,0.85,0.02,0.86,0.02
Female: 45-54: LTHS or HS,0.56,0.08,0.64,0.04,0.64,-0.07,0.61,0.0,0.62,0.08
Female: 45-54: College or Advanced,0.75,0.12,0.83,0.03,0.81,-0.04,0.81,0.01,0.8,0.11
Female: 55-64: LTHS,0.31,-0.01,0.3,-0.01,0.32,-0.01,0.32,0.05,0.31,0.01
Female: 55-64: HS,0.43,0.0,0.47,0.03,0.51,0.03,0.51,-0.01,0.48,0.07
Female: 55-64: Some college,0.48,0.01,0.55,0.04,0.59,0.03,0.59,-0.01,0.55,0.1
Female: 55-64: College,0.5,0.06,0.57,0.07,0.64,0.04,0.66,0.01,0.58,0.19
Female: 55-64: Advanced,0.67,-0.03,0.68,0.02,0.7,0.0,0.69,0.03,0.69,0.05
Female: 55-64: LTHS or HS,0.38,0.01,0.41,0.04,0.47,0.04,0.47,0.0,0.43,0.09
Female: 55-64: College or Advanced,0.55,0.04,0.61,0.05,0.66,0.02,0.67,0.02,0.62,0.16
Female: 65+: LTHS,0.05,-0.01,0.05,-0.01,0.06,0.01,0.06,0.01,0.05,0.01
Female: 65+: HS,0.1,-0.02,0.09,0.0,0.11,0.03,0.12,0.0,0.1,0.01
Female: 65+: Some college,0.11,0.0,0.12,0.0,0.15,0.05,0.17,-0.01,0.13,0.06
Female: 65+: College,0.1,0.0,0.12,0.0,0.16,0.07,0.2,0.0,0.14,0.1
Female: 65+: Advanced,0.16,0.0,0.17,0.03,0.22,0.06,0.26,0.0,0.2,0.11
Female: 65+: LTHS or HS,0.07,-0.01,0.07,0.0,0.09,0.03,0.1,0.01,0.08,0.03
Female: 65+: College or Advanced,0.11,0.0,0.13,0.01,0.18,0.07,0.22,0.0,0.15,0.11
Female: 16+: LTHS,0.28,-0.01,0.29,0.01,0.28,-0.07,0.26,0.02,0.28,-0.03
Female: 16+: HS,0.54,0.02,0.54,-0.02,0.5,-0.09,0.46,0.0,0.52,-0.07
Female: 16+: Some college,0.6,0.07,0.66,0.02,0.63,-0.08,0.58,0.0,0.62,0.01
Female: 16+: College,0.67,0.09,0.72,0.01,0.7,-0.04,0.68,-0.01,0.69,0.05
Female: 16+: Advanced,0.74,0.05,0.77,0.0,0.73,-0.05,0.71,0.01,0.74,0.0
Female: 16+: LTHS or HS,0.43,0.03,0.45,0.0,0.43,-0.07,0.4,0.01,0.43,-0.02
Female: 16+: College or Advanced,0.69,0.08,0.74,0.01,0.71,-0.04,0.69,0.0,0.71,0.04
Female: 25-54: LTHS,0.45,0.03,0.46,0.02,0.46,-0.08,0.44,0.02,0.45,0.0
Female: 25-54: HS,0.63,0.09,0.7,0.02,0.67,-0.1,0.63,0.0,0.67,0.04
Female: 25-54: Some college,0.69,0.11,0.76,0.03,0.75,-0.07,0.72,0.02,0.73,0.1
Female: 25-54: College,0.75,0.11,0.8,0.01,0.78,-0.02,0.78,0.0,0.78,0.1
Female: 25-54: Advanced,0.83,0.05,0.86,0.0,0.84,-0.02,0.84,0.02,0.84,0.05
Female: 25-54: LTHS or HS,0.58,0.08,0.64,0.02,0.62,-0.09,0.58,0.01,0.61,0.04
Female: 25-54: College or Advanced,0.77,0.1,0.82,0.01,0.8,-0.02,0.8,0.01,0.8,0.09
