pt3ISO,TradeValue,rt3ISO,period
MLI,62,FIN,2015
MYS,23854820,FRA,2015
MYS,265550,FRA,2015
MLI,88230,FRA,2015
MLI,371565,FRA,2015
MLT,46860,FRA,2015
MYS,39958,PYF,2015
MLT,4481,GEO,2015
MYS,17342,PSE,2015
MYS,215603882,DEU,2015
MYS,227465,DEU,2015
MDV,3505,DEU,2015
MLI,12648,DEU,2015
MLT,195985,DEU,2015
MLT,1867356,DEU,2015
MYS,316137,GRC,2015
MLT,161135,GRC,2015
MYS,11640,GRL,2015
MYS,579835059,HKG,2015
MYS,47392303,HKG,2015
MLI,30985,HKG,2015
MYS,9501933,HUN,2015
MYS,1936422,HUN,2015
MYS,85357,ISL,2015
MLT,1059,ISL,2015
MYS,19495103,IDN,2015
MYS,2034465,IDN,2015
MDV,14,IDN,2015
MYS,2080591,IRL,2015
MYS,19139621,IRL,2015
MLI,177017,IRL,2015
MLT,244235,IRL,2015
MLT,269903,IRL,2015
MYS,94000,ISR,2015
MLI,1000,ISR,2015
MYS,411897,ITA,2015
MYS,33637,ITA,2015
MLT,42011,ITA,2015
MLT,355598,ITA,2015
MYS,9608,CIV,2015
MLI,639,CIV,2015
MLI,212,CIV,2015
MYS,180857,JAM,2015
MYS,119861420,JPN,2015
MYS,797807,JPN,2015
MDV,3760,JPN,2015
MYS,583840,KAZ,2015
MYS,49641,JOR,2015
MYS,37520897,KOR,2015
MYS,23052743,KOR,2015
MDV,303,KOR,2015
MYS,1768727,KWT,2015
MYS,7413,KGZ,2015
MYS,358,LVA,2015
MLT,322,LVA,2015
MHL,175,LVA,2015
MYS,2317,LTU,2015
MYS,225,LTU,2015
MLT,269,LTU,2015
MYS,424858,LUX,2015
MYS,15539,LUX,2015
MYS,10481,MDG,2015
MYS,9691,MWI,2015
MDV,2864,MYS,2015
MYS,1226323,MDV,2015
MYS,19980,MLT,2015
MYS,14229,MUS,2015
MYS,304,MUS,2015
MYS,172469438,MEX,2015
MYS,6026530,MEX,2015
MYS,121590352,,2015
MYS,11020652,,2015
MDV,29403,,2015
MLI,400,,2015
MLT,50237,,2015
MHL,223,,2015
MYS,219216,MNG,2015
MYS,14914,MNG,2015
MYS,41923,MDA,2015
MYS,38794,MNE,2015
MYS,257378,MAR,2015
MLI,287,MAR,2015
MYS,117719,NPL,2015
MYS,49958368,NLD,2015
MYS,47360361,NLD,2015
MDV,26,NLD,2015
MLI,63,NLD,2015
MLI,17797,NLD,2015
MLT,39724,NLD,2015
MLT,812747,NLD,2015
MYS,10255326,NZL,2015
MYS,35863,NZL,2015
MYS,33195,NIC,2015
MYS,5323,NER,2015
MYS,4767572,NOR,2015
MYS,11411,NOR,2015
MDV,163,NOR,2015
MDV,8417,NOR,2015
MLI,269,NOR,2015
MLT,219,NOR,2015
MYS,255973,PAK,2015
MYS,161443,PAN,2015
MYS,25514,PRY,2015
MYS,772108,PER,2015
MLT,19,PER,2015
MYS,22802969,POL,2015
MYS,629205,POL,2015
MLT,66188,POL,2015
MLT,59014,POL,2015
MYS,8881,PRT,2015
MYS,1550537,QAT,2015
MYS,270507,ROU,2015
MYS,224,ROU,2015
MYS,72904090,RUS,2015
MLI,5038,RUS,2015
MYS,14275,RWA,2015
MYS,11064814,SAU,2015
MLI,539,SEN,2015
MYS,544144,SRB,2015
MYS,39,SRB,2015
MDV,236,SRB,2015
MYS,65922883,IND,2015
MYS,3435411,IND,2015
MDV,4604,IND,2015
MLI,1,IND,2015
MLT,21239,IND,2015
MYS,156773073,SGP,2015
MYS,160038615,SGP,2015
MDV,34,SGP,2015
MDV,214714,SGP,2015
MLT,3403,SGP,2015
MHL,259,SGP,2015
MYS,3220001,SVK,2015
MLT,9336,SVK,2015
MYS,41301002,VNM,2015
MYS,4794165,VNM,2015
MYS,1059493,SVN,2015
MLI,12477,SVN,2015
MLT,136324,SVN,2015
MLT,69467,SVN,2015
MYS,5099422,ZAF,2015
MYS,6234,ZAF,2015
MYS,4467986,ESP,2015
MYS,10226,ESP,2015
MLT,190206,ESP,2015
MYS,518752,SWE,2015
MYS,2571280,SWE,2015
MLT,8181,SWE,2015
MLT,673744,SWE,2015
MYS,10362557,CHE,2015
MYS,47452,CHE,2015
MDV,21,CHE,2015
MLI,97,CHE,2015
MLT,446,CHE,2015
MLT,1028,CHE,2015
MYS,638648970,THA,2015
MYS,127522160,THA,2015
MDV,16475,THA,2015
MLT,66,THA,2015
MYS,7172053,ARE,2015
MYS,453,ARE,2015
MDV,15080,ARE,2015
MLI,136,ARE,2015
MYS,28654,TUN,2015
MYS,16354373,TUR,2015
MLT,10800,TUR,2015
MYS,51,UGA,2015
MYS,3516233,UKR,2015
MYS,146091,MKD,2015
MYS,75017,EGY,2015
MYS,23470507,GBR,2015
MYS,1953716,GBR,2015
MDV,13632,GBR,2015
MLI,21826,GBR,2015
MLT,75703,GBR,2015
MLT,2606165,GBR,2015
MYS,2585,TZA,2015
MYS,609894153,USA,2015
MYS,140371371,USA,2015
MDV,68617,USA,2015
MLI,2975,USA,2015
MLI,69814,USA,2015
MLT,6696,USA,2015
MLT,36075,USA,2015
MHL,16824,USA,2015
MYS,2008,BFA,2015
MYS,63591,URY,2015
MHL,407,URY,2015
MYS,10565,ALB,2010
MYS,360520,DZA,2010
MYS,7770,AND,2010
MYS,140,AGO,2010
MYS,3478,AZE,2010
MYS,10913546,ARG,2010
MYS,150,ARG,2010
MYS,87306117,AUS,2010
MYS,1976914,AUS,2010
MLI,40411,AUS,2010
MLI,10407,AUS,2010
MHL,12347,AUS,2010
MYS,12447751,AUT,2010
MYS,8871,AUT,2010
MLT,8885,AUT,2010
MYS,46028,BHR,2010
MYS,711858,BGD,2010
MYS,72,BGD,2010
MLT,143,BGD,2010
MYS,60679,ARM,2010
MYS,226136,BEL,2010
MYS,12355,BEL,2010
MLI,1122,BEL,2010
MLT,4942,BEL,2010
MYS,74998,BTN,2010
MYS,46132,BOL,2010
MYS,153993,BIH,2010
MLI,140,BIH,2010
MYS,49130664,BRA,2010
MYS,45035,BRA,2010
MYS,317,BGR,2010
MYS,17431,MMR,2010
MYS,861100,BLR,2010
MYS,5414,KHM,2010
MYS,44455668,CAN,2010
MYS,217571,CAN,2010
MLI,24142,CAN,2010
MLT,91,CAN,2010
MLT,3264,CAN,2010
MYS,35802,LKA,2010
MYS,771956,CHL,2010
MYS,2239022740,CHN,2010
MYS,106209005,CHN,2010
MDV,36220,CHN,2010
MLI,32747,CHN,2010
MLT,156600,CHN,2010
MYS,679208,COL,2010
MYS,35261,CRI,2010
MYS,4854984,HRV,2010
MHL,232,HRV,2010
MYS,5805,CYP,2010
MYS,174629352,CZE,2010
MYS,1833928,CZE,2010
MLT,421004,CZE,2010
MYS,4405490,DNK,2010
MYS,20214,DNK,2010
MLT,6608,DNK,2010
MYS,78841,DOM,2010
MYS,23408,ETH,2010
MYS,317210,EST,2010
MLI,65,EST,2010
MYS,17495,FJI,2010
MYS,8203087,FIN,2010
MYS,21266,FIN,2010
MYS,29474621,FRA,2010
MYS,201485,FRA,2010
MDV,3976,FRA,2010
MLI,604456,FRA,2010
MLT,3976,FRA,2010
MLT,39767,FRA,2010
MYS,15238,PYF,2010
MYS,4412,PSE,2010
MYS,226769756,DEU,2010
MYS,948712,DEU,2010
MDV,1325,DEU,2010
MLI,29150,DEU,2010
MLT,1325,DEU,2010
MLT,841386,DEU,2010
MLI,156,GHA,2010
MYS,318590,GRC,2010
MYS,2611,GRL,2010
MYS,8278,GTM,2010
MYS,150093,HND,2010
MYS,3980,HND,2010
MYS,499018136,HKG,2010
MYS,23887892,HKG,2010
MDV,2686,HKG,2010
MYS,8535000,HUN,2010
MYS,5250000,HUN,2010
MYS,177658,ISL,2010
MYS,6957602,IDN,2010
MYS,11384630,IDN,2010
MYS,41667419,IRL,2010
MYS,12739368,IRL,2010
MLT,336869,IRL,2010
MYS,3160000,ISR,2010
MLT,1000,ISR,2010
MYS,1909336,ITA,2010
MYS,25508,ITA,2010
MLT,199,ITA,2010
MLT,432346,ITA,2010
MYS,15183,CIV,2010
MYS,28865,JAM,2010
MYS,208860579,JPN,2010
MYS,1138529,JPN,2010
MLT,3678,JPN,2010
MYS,453072,KAZ,2010
MYS,130537,JOR,2010
MYS,182205,KEN,2010
MYS,26646291,KOR,2010
MYS,29682208,KOR,2010
MDV,531,KOR,2010
MLI,84,KOR,2010
MYS,1568777,KWT,2010
MYS,83482,KGZ,2010
MYS,528086,LBN,2010
MLI,675,LBN,2010
MYS,266,LVA,2010
MHL,1470,LVA,2010
MYS,2957,LTU,2010
MLT,3095,LTU,2010
MYS,183948,LUX,2010
MYS,3099,LUX,2010
MLI,636,LUX,2010
MYS,16271219,MAC,2010
MYS,128926,MYS,2010
MYS,1025900,MDV,2010
MYS,62685,MLI,2010
MYS,20344,MUS,2010
MYS,287184749,MEX,2010
MYS,3936623,MEX,2010
MYS,56072105,,2010
MYS,12719991,,2010
MDV,13089,,2010
MLI,4364,,2010
MLI,1486,,2010
MLT,49161,,2010
MHL,1138,,2010
MYS,129630,MDA,2010
MYS,85096,MNE,2010
MYS,181,NPL,2010
MYS,219905291,NLD,2010
MYS,32417768,NLD,2010
MLI,39789,NLD,2010
MLT,197540,NLD,2010
MLT,1855513,NLD,2010
MYS,16651,NCL,2010
MLI,538,NCL,2010
MYS,8517651,NZL,2010
MYS,141575,NZL,2010
MYS,24520,NIC,2010
MYS,3007,NER,2010
MYS,8359341,NOR,2010
MYS,507,NOR,2010
MLI,249,NOR,2010
MLT,1658,NOR,2010
MYS,500241,PAK,2010
MYS,8171,PAN,2010
MYS,1654,PRY,2010
MYS,1100191,PER,2010
MYS,65546307,POL,2010
MYS,453499,POL,2010
MLI,173732,POL,2010
MLT,9946,POL,2010
MYS,514,PRT,2010
MYS,865137,ROU,2010
MLI,26864,ROU,2010
MLT,35522,ROU,2010
MYS,16985191,RUS,2010
MYS,727,VCT,2010
MYS,8076810,SAU,2010
MLI,2862,SEN,2010
MYS,1765683,SRB,2010
MYS,873,SRB,2010
MLI,854,SRB,2010
MYS,31721452,IND,2010
MYS,5582388,IND,2010
MDV,803,IND,2010
MLI,55952,IND,2010
MYS,302686504,SGP,2010
MYS,245127361,SGP,2010
MDV,156517,SGP,2010
MLT,4553,SGP,2010
MYS,2929956,SVK,2010
MYS,4041,SVK,2010
MLT,15724,SVK,2010
MYS,7385330,VNM,2010
MYS,574768,VNM,2010
MYS,5297374,SVN,2010
MYS,4283322,ZAF,2010
MYS,617,ZAF,2010
MLI,533,ZAF,2010
MLI,14797,ZAF,2010
MLT,1686,ZAF,2010
MYS,2283,ZWE,2010
MYS,3359544,ESP,2010
MLT,328378,ESP,2010
MYS,1889388,SWE,2010
MYS,50803,SWE,2010
MLT,139,SWE,2010
MYS,3238275,CHE,2010
MYS,35649,CHE,2010
MDV,85,CHE,2010
MLI,3549,CHE,2010
MLT,1100,CHE,2010
MYS,323269985,THA,2010
MYS,353294061,THA,2010
MDV,3547,THA,2010
MYS,8184,TTO,2010
MYS,65856,TUN,2010
MYS,17154861,TUR,2010
MLI,5503,TUR,2010
MYS,47734,MKD,2010
MYS,54587429,GBR,2010
MYS,1068845,GBR,2010
MDV,44676,GBR,2010
MLT,2668106,GBR,2010
MYS,1018353037,USA,2010
MYS,111200232,USA,2010
MLT,9886,USA,2010
MLT,31490,USA,2010
MHL,11298,USA,2010
MYS,5577,BFA,2010
MYS,70726,URY,2010
MYS,110,ZMB,2010
MYS,347,ATG,2015
MYS,2077,MOZ,2015
MYS,319,VCT,2015
MYS,330,SYC,2015
MDV,3952,SYC,2015
MYS,38567,TTO,2015
MYS,3843,ALB,2005
MYS,1463449,DZA,2005
MYS,2399,AZE,2005
MDV,126,ARG,2005
MYS,46136986,AUS,2005
MYS,2024542,AUS,2005
MLI,47955,AUS,2005
MLT,1065291,AUS,2005
MYS,7452421,AUT,2005
MYS,27895,AUT,2005
MLI,27637,AUT,2005
MLT,516763,AUT,2005
MLT,139904,AUT,2005
MYS,12069,BHR,2005
MYS,50998,BGD,2005
MYS,33730,BRB,2005
MYS,1475301,BEL,2005
MYS,2604,BEL,2005
MYS,177372,BTN,2005
MYS,13006,BOL,2005
MYS,91787,BIH,2005
MLI,202,BIH,2005
MYS,33133064,BRA,2005
MYS,109046,BRA,2005
MLI,35,BRA,2005
MYS,1737691,BGR,2005
MYS,184000,BLR,2005
MYS,4768,KHM,2005
MYS,515,CMR,2005
MYS,72421245,CAN,2005
MYS,482509,CAN,2005
MDV,109,CAN,2005
MDV,3142,CAN,2005
MLI,7057,CAN,2005
MLT,1390,CAN,2005
MDV,12,LKA,2005
MYS,556409,CHL,2005
MYS,554762796,CHN,2005
MYS,142900071,CHN,2005
MDV,13500,CHN,2005
MLT,1240,CHN,2005
MYS,333826,COL,2005
MYS,55720,CRI,2005
MYS,200,CRI,2005
MYS,8072138,HRV,2005
MLI,93,HRV,2005
MLT,1409,HRV,2005
MYS,159587,CUB,2005
MYS,13210,CYP,2005
MYS,24164844,CZE,2005
MYS,2011,CZE,2005
MLI,289,CZE,2005
MYS,936404,DNK,2005
MYS,9494,DNK,2005
MLT,4760,DNK,2005
MYS,625592,EST,2005
MLI,5166,EST,2005
MLT,102,EST,2005
MYS,14629,FRO,2005
MYS,16840946,FIN,2005
MYS,4078,FIN,2005
MLT,36,FIN,2005
MYS,55991039,FRA,2005
MYS,177927,FRA,2005
MDV,1244,FRA,2005
MLI,528816,FRA,2005
MLI,241383,FRA,2005
MLT,29863,FRA,2005
MLT,97051,FRA,2005
MYS,246522,PYF,2005
MLI,832,PYF,2005
MYS,78,GAB,2005
MYS,417535000,DEU,2005
MYS,508000,DEU,2005
MLI,2000,DEU,2005
MLT,1000,DEU,2005
MLT,471000,DEU,2005
MLI,703,GHA,2005
MHL,66,GHA,2005
MYS,142852,GRC,2005
MLT,2372,GRC,2005
MLT,335,GRC,2005
MYS,94547,GTM,2005
MYS,446,GIN,2005
MYS,780,HND,2005
MYS,304625735,HKG,2005
MYS,22024131,HKG,2005
MYS,20932000,HUN,2005
MYS,1169000,HUN,2005
MYS,294833,ISL,2005
MLT,3351,ISL,2005
MYS,846107,IRN,2005
MYS,89276375,IRL,2005
MYS,6213787,IRL,2005
MLT,53052,IRL,2005
MYS,420000,ISR,2005
MDV,2000,ISR,2005
MLT,1000,ISR,2005
MYS,5654770,ITA,2005
MYS,70347,ITA,2005
MLT,3022,ITA,2005
MLT,22814,ITA,2005
MHL,55446,ITA,2005
MYS,46372,CIV,2005
MYS,65143,JAM,2005
MYS,189652290,JPN,2005
MYS,13132937,JPN,2005
MYS,98709,KAZ,2005
MYS,27512,JOR,2005
MYS,45599624,KOR,2005
MYS,32210128,KOR,2005
MLT,345,KOR,2005
MYS,7551,KGZ,2005
MYS,510000,LBN,2005
MYS,123824,LVA,2005
MYS,114719,LTU,2005
MYS,49896,LUX,2005
MYS,2860303,MAC,2005
MYS,647,MDG,2005
MYS,7880877,MYS,2005
MDV,2142,MYS,2005
MYS,265470,MDV,2005
MYS,575,MLT,2005
MYS,2919,MUS,2005
MYS,156885603,MEX,2005
MYS,1745259,MEX,2005
MLI,34928,MEX,2005
MLT,280,MEX,2005
MYS,57920254,,2005
MYS,6000347,,2005
MDV,31,,2005
MDV,4315,,2005
MLT,5065,,2005
MYS,14604,MNG,2005
MYS,10158,MDA,2005
MYS,253,MSR,2005
MYS,147356,MAR,2005
MYS,211148690,NLD,2005
MYS,18228436,NLD,2005
MDV,3731,NLD,2005
MLI,348088,NLD,2005
MLT,14918,NLD,2005
MLT,1144174,NLD,2005
MHL,11189,NLD,2005
MYS,47769,NCL,2005
MYS,3946791,NZL,2005
MYS,301093,NZL,2005
MLI,235,NZL,2005
MYS,23110,NIC,2005
MYS,13873636,NOR,2005
MYS,822,NOR,2005
MHL,10225,FSM,2005
MYS,55926,PAK,2005
MYS,4208805,PRY,2005
MYS,586,PRY,2005
MYS,710594,PER,2005
MLI,4650,PER,2005
MYS,33498841,POL,2005
MYS,2352,POL,2005
MYS,4704,PRT,2005
MYS,164794,QAT,2005
MYS,6733843,ROU,2005
MYS,18069084,RUS,2005
MYS,7012808,SAU,2005
MYS,2822,SEN,2005
MLI,8707,SEN,2005
MYS,3351319,SRB,2005
MLI,4713,SRB,2005
MYS,32925558,IND,2005
MYS,3067163,IND,2005
MYS,288025726,SGP,2005
MYS,313001559,SGP,2005
MDV,1883,SGP,2005
MDV,166308,SGP,2005
MLT,116489,SGP,2005
MYS,6602733,SVK,2005
MLT,31754,SVK,2005
MYS,671048,VNM,2005
MYS,245653,VNM,2005
MLI,215,VNM,2005
MYS,6183120,SVN,2005
MYS,5603912,ZAF,2005
MLI,1309,ZAF,2005
MYS,10160,ZWE,2005
MYS,10681181,ESP,2005
MYS,45684,ESP,2005
MLI,56,ESP,2005
MLT,646,ESP,2005
MLT,1725,ESP,2005
MYS,536,SWE,2005
MYS,8306,SWE,2005
MLT,268,SWE,2005
MYS,2002503,CHE,2005
MYS,11863,CHE,2005
MLT,2249,CHE,2005
MYS,10450291,THA,2005
MYS,205299240,THA,2005
MDV,910,THA,2005
MLT,49,THA,2005
MYS,10171,TTO,2005
MYS,6456533,ARE,2005
MDV,9370,ARE,2005
MLI,19588,ARE,2005
MYS,164475,TUN,2005
MYS,14397788,TUR,2005
MYS,24042,UGA,2005
MYS,747401,MKD,2005
MYS,81554312,GBR,2005
MYS,3272012,GBR,2005
MLT,11432,GBR,2005
MLT,1055107,GBR,2005
MYS,1949,TZA,2005
MYS,1057106030,USA,2005
MYS,111888886,USA,2005
MLI,223490,USA,2005
MLI,3947,USA,2005
MLT,23676,USA,2005
MLT,238426,USA,2005
MHL,435736,USA,2005
MYS,45307,URY,2005
MYS,526,ZMB,2005
MYS,3265,BRB,2010
MYS,184882,CMR,2010
MYS,15072,IRN,2010
MYS,211924,LBY,2010
MYS,87454,MAR,2010
MLI,2211,MAR,2010
MLT,948,MAR,2010
MYS,75998,OMN,2010
MYS,76614,PHL,2010
MYS,18628119,PHL,2010
MYS,792979,QAT,2010
MYS,220,SYC,2010
MYS,637801,UKR,2010
MYS,169478,VEN,2010
MYS,3514,BRB,2015
MYS,1089396,PHL,2015
MYS,17081354,PHL,2015
MYS,2874,DOM,2005
MYS,1265407,IDN,2005
MYS,3365060,IDN,2005
MYS,31190,PHL,2005
MYS,81501273,PHL,2005
MYS,1097,LCA,2005
MYS,557,VCT,2005
MYS,1252503,UKR,2005
MYS,402,VEN,2005
MYS,3061,YEM,2005
MYS,575,ATG,2010
PHL,26364,ALB,2015
POL,8573,ALB,2015
PHL,511214,DZA,2015
POL,401668,DZA,2015
PRT,882,DZA,2015
POL,29919,AGO,2015
PRT,677772,AGO,2015
PHL,37196,AZE,2015
POL,30792,AZE,2015
PRT,5491,AZE,2015
PER,2160,ARG,2015
PHL,12394396,ARG,2015
POL,26582,ARG,2015
PHL,17412402,AUS,2015
PHL,399948,AUS,2015
POL,108106,AUS,2015
PRT,4685,AUS,2015
PER,177,AUT,2015
PER,1754,AUT,2015
PHL,2567844,AUT,2015
PHL,63458,AUT,2015
POL,10253957,AUT,2015
POL,496649,AUT,2015
PRT,4625,AUT,2015
PRT,16374,AUT,2015
PHL,67781,BHR,2015
POL,113749,BHR,2015
PHL,1072902,BGD,2015
PHL,107291,ARM,2015
POL,76629,ARM,2015
POL,896,ARM,2015
PER,172,BEL,2015
PHL,1067367,BEL,2015
PHL,602,BEL,2015
POL,10798734,BEL,2015
POL,3370608,BEL,2015
PRT,19490,BEL,2015
PRT,414336,BEL,2015
PHL,3701,BMU,2015
PER,5667,BOL,2015
PHL,78581,BOL,2015
PRT,73,BOL,2015
PHL,145446,BIH,2015
POL,6542,BIH,2015
POL,4616,BIH,2015
POL,2066,BWA,2015
PER,14145,BRA,2015
PHL,29946036,BRA,2015
POL,82340,BRA,2015
POL,1499,BRA,2015
PRT,20797,BRA,2015
PER,127,BLZ,2015
PHL,551,BLZ,2015
PHL,6796,BRN,2015
PHL,577,BRN,2015
POL,286764,BGR,2015
POL,83103,BGR,2015
POL,391,BDI,2015
PHL,312600,BLR,2015
POL,268500,BLR,2015
POL,4900,BLR,2015
PHL,354,KHM,2015
PHL,16406,CMR,2015
PER,7145,CAN,2015
PER,6934,CAN,2015
PHL,22755637,CAN,2015
PHL,140489,CAN,2015
POL,191371,CAN,2015
POL,43789,CAN,2015
PRT,124,CAN,2015
PRT,165490,CPV,2015
PRT,6970,CPV,2015
PHL,185839,LKA,2015
POL,19833,LKA,2015
PER,64997,CHL,2015
PER,422668,CHL,2015
PHL,4938124,CHL,2015
POL,13444,CHL,2015
PRT,670,CHL,2015
PER,2276146,CHN,2015
PHL,1830982354,CHN,2015
PHL,36282077,CHN,2015
POL,282231,CHN,2015
POL,134464207,CHN,2015
PRT,3919,CHN,2015
PRT,1817391,CHN,2015
PER,29577,COL,2015
PER,62001,COL,2015
PHL,2684620,COL,2015
PRT,1,COL,2015
PER,944,CRI,2015
PHL,108943,CRI,2015
PHL,371,CRI,2015
POL,2280,CRI,2015
PHL,16813,HRV,2015
PHL,808,HRV,2015
POL,125469,HRV,2015
POL,322073,HRV,2015
PHL,15529,CYP,2015
POL,41511,CYP,2015
PER,408,CZE,2015
PHL,54801276,CZE,2015
PHL,3844,CZE,2015
POL,9395141,CZE,2015
POL,43647836,CZE,2015
PRT,1074,CZE,2015
PRT,7851047,CZE,2015
PHL,1082503,DNK,2015
PHL,2688,DNK,2015
POL,1986236,DNK,2015
POL,2598504,DNK,2015
PRT,12203,DNK,2015
PRT,72673,DNK,2015
PER,300,DOM,2015
PHL,82420,DOM,2015
PHL,370878,ECU,2015
PHL,323,SLV,2015
PRT,35,SLV,2015
PHL,10675,ETH,2015
POL,20242,ETH,2015
PHL,53114,EST,2015
POL,2959788,EST,2015
POL,1072467,EST,2015
PER,1452,FIN,2015
PHL,2787731,FIN,2015
PHL,12,FIN,2015
POL,35401,FIN,2015
POL,13174,FIN,2015
PRT,83,FIN,2015
PER,897,FRA,2015
PER,51905,FRA,2015
PHL,12606614,FRA,2015
PHL,28634,FRA,2015
POL,4333203,FRA,2015
POL,11819589,FRA,2015
PRT,11493,FRA,2015
PRT,1640812,FRA,2015
PHL,20436,PYF,2015
POL,10614,GEO,2015
POL,31,GEO,2015
PHL,30601,PSE,2015
POL,1475,PSE,2015
PER,1605,DEU,2015
PER,239923,DEU,2015
PHL,356198243,DEU,2015
PHL,346541,DEU,2015
POL,139568864,DEU,2015
POL,154188374,DEU,2015
PRT,92369,DEU,2015
PRT,13810416,DEU,2015
PHL,38169,GRC,2015
POL,584010,GRC,2015
POL,63037,GRC,2015
PRT,120,GRC,2015
PER,1863,GTM,2015
PER,169576,HKG,2015
PHL,472100191,HKG,2015
PHL,35381675,HKG,2015
POL,15,HKG,2015
POL,13044619,HKG,2015
PRT,767345,HKG,2015
PER,74486,HUN,2015
PHL,35159278,HUN,2015
PHL,52850,HUN,2015
POL,4694734,HUN,2015
POL,2855976,HUN,2015
PRT,20422,HUN,2015
PRT,196029,HUN,2015
PHL,51315,ISL,2015
PHL,6302,ISL,2015
POL,55564,ISL,2015
POL,96,ISL,2015
PRT,88,ISL,2015
PER,29178,IDN,2015
PHL,11993424,IDN,2015
PHL,45004,IDN,2015
POL,3989,IDN,2015
PRT,110,IDN,2015
PER,3041523,IRL,2015
PHL,3898303,IRL,2015
PHL,5784124,IRL,2015
POL,3415035,IRL,2015
POL,31776633,IRL,2015
PRT,514176,IRL,2015
PRT,10110178,IRL,2015
PER,70000,ISR,2015
PHL,12000,ISR,2015
PHL,258000,ISR,2015
POL,95000,ISR,2015
POL,18000,ISR,2015
PRT,2000,ISR,2015
PER,18149,ITA,2015
PHL,133816,ITA,2015
PHL,33360,ITA,2015
POL,2677298,ITA,2015
POL,6361162,ITA,2015
PRT,246395,ITA,2015
PRT,1346003,ITA,2015
PHL,63120,CIV,2015
POL,70082,CIV,2015
PER,187,JAM,2015
PHL,10410,JAM,2015
PER,4281,JPN,2015
PHL,261853278,JPN,2015
PHL,403234,JPN,2015
POL,49129,JPN,2015
POL,17148,JPN,2015
PHL,386036,KAZ,2015
POL,286021,KAZ,2015
POL,36426,KAZ,2015
PHL,69373,JOR,2015
POL,804,JOR,2015
PER,1885,KOR,2015
PER,2175,KOR,2015
PHL,55512512,KOR,2015
PHL,1170181,KOR,2015
POL,631633,KOR,2015
POL,6992982,KOR,2015
PRT,77549,KOR,2015
PRT,870,KOR,2015
PHL,641416,KWT,2015
POL,181679,KWT,2015
PHL,66451,KGZ,2015
POL,102,KGZ,2015
PHL,17351,LVA,2015
POL,15664712,LVA,2015
POL,7073181,LVA,2015
PRT,364208,LVA,2015
PHL,9233,LTU,2015
POL,8870403,LTU,2015
POL,14940085,LTU,2015
PRT,5323,LTU,2015
PRT,241,LTU,2015
PHL,42755,LUX,2015
PHL,6,LUX,2015
POL,4757911,LUX,2015
POL,1106263,LUX,2015
PRT,3949,LUX,2015
PHL,9274,MDG,2015
POL,33904,MDG,2015
PHL,231,MWI,2015
PER,54458,MYS,2015
PHL,27062938,MYS,2015
PHL,1817397,MYS,2015
POL,1494642,MYS,2015
POL,29753877,MYS,2015
PRT,369914,MYS,2015
PHL,9,MDV,2015
POL,765,MDV,2015
PHL,4118,MLT,2015
POL,24553,MLT,2015
POL,633,MLT,2015
PHL,67220,MUS,2015
POL,50390,MUS,2015
POL,142,MUS,2015
PER,2789507,MEX,2015
PHL,365055436,MEX,2015
PHL,3340389,MEX,2015
POL,749957,MEX,2015
POL,13741761,MEX,2015
PRT,18832,MEX,2015
PRT,1768696,MEX,2015
PER,1058148,,2015
