Count of Combined,Column Labels,,,,,,,,,,
Row Labels,10-Trade,1-National Accounts,2-Labor Markets,3-Economic Activity,4-Prices,5-Balance of Payments,6-Exchange Rates,7-Interest Rates,8-Equities,9-Commodities,Grand Total
Spain,,3,2,3,4,1,2,3,1,,19
Sri Lanka,,3,1,,2,1,,8,1,,16
Sudan,,,,,2,1,,,,,3
Suriname,,3,,1,2,1,,5,,,12
Swaziland,,,,,2,1,,6,,,9
Sweden,,3,2,3,6,1,2,4,1,,22
Switzerland,,3,2,3,5,1,2,8,1,,25
Tajikistan,,,,,2,1,,9,,,12
"Tanzania, United Republic of",,2,,,2,1,,5,,,10
Thailand,4,3,1,,3,1,,8,1,1,22
Timor-Leste,,,,,2,1,,3,,,6
Togo,,3,,,2,1,2,6,,,14
Tonga,,,,,2,1,,2,,,5
Trinidad and Tobago,,,1,,3,,2,6,1,,13
Tunisia,,3,1,2,3,1,2,1,,,13
Turkey,,3,1,2,3,1,,3,1,,14
Uganda,,2,,,2,1,2,5,,,12
Ukraine,,3,2,1,3,1,2,7,1,,20
United Arab Emirates,,,,1,1,,1,,,2,5
United Kingdom,,3,2,3,6,1,2,9,3,11,40
United States,,3,2,4,9,1,2,13,4,16,54
Uruguay,,3,,,3,1,2,10,,,19
Vanuatu,,,,,2,1,,5,,,8
"Venezuela, Bolivarian Republic",,3,1,,5,1,2,6,2,,20
Viet Nam,,3,1,,2,1,,4,1,,12
Yemen,,,,,2,1,,3,,,6
Zambia,,,,,2,1,2,5,1,,11
Zimbabwe,,,,,2,1,,,,,3
Grand Total,15,334,125,158,515,161,193,885,102,45,2533
