National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,,,,,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,,,,,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY,YEAR,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1961,26332,13357,8236,6468,0,0,1768,4738,1961,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1962,28414,14255,8999,7178,0,0,1822,5159,1962,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1963,30918,15311,9892,7952,0,0,1940,5715,1963,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1964,34130,16928,10971,9052,0,0,1919,6231,1964,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1965,37186,18209,12023,10072,0,0,1951,6955,1965,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1966,41227,18594,15673,10296,1842,1304,2231,6959,1966,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1967,46502,18537,21109,10452,4924,3141,2592,6857,1967,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1968,52689,20500,24379,11830,6218,3541,2789,7811,1968,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1969,59097,22601,27565,13363,7045,4174,2983,8931,1969,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1970,67046,24953,31763,15499,7672,5290,3302,10330,1970,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1971,74339,26312,36727,17840,8443,6695,3749,11300,1971,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1972,83350,28646,42617,20690,9325,8314,4288,12087,1972,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1973,93092,31625,48027,22994,10730,9423,4880,13440,1973,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1974,105884,34373,55956,26080,13428,11073,5375,15555,1974,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1975,121106,37262,66330,30578,16336,13446,5970,17514,1975,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1976,139293,40647,79068,37425,19694,15188,6761,19578,1976,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1977,159946,44853,93115,45692,22891,17464,7068,21978,1977,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1978,180046,48016,106582,52523,26668,19465,7927,25448,1978,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1979,204567,52312,122739,60955,30922,22332,8531,29516,1979,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1980,235475,58146,142333,69225,37387,26032,9689,34995,1980,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1981,273418,65355,167730,81804,44769,30307,10849,40333,1981,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1982,308038,72450,190651,94227,52351,32011,12063,44937,1982,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1983,339453,78619,212741,105128,59559,35266,12789,48093,1983,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1984,375119,86500,237405,119053,66207,38233,13912,51214,1984,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1985,412836,95640,259273,131311,71829,40937,15196,57923,1985,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1986,443712,103610,274699,136077,76829,45383,16409,65404,1986,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1987,482287,109652,300035,149177,83081,50339,17438,72600,1987,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1988,540513,120217,338282,175829,88965,55080,18408,82013,1988,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1989,602254,126651,387271,204775,101137,61952,19407,88332,1989,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1990,674070,137882,439113,233885,110182,73661,21385,97075,1990,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1991,737681,140815,492308,255092,120617,93211,23389,104558,1991,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1992,798746,143178,543122,274725,135996,108186,24215,112445,1992,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1993,857725,144098,593278,295294,149965,122373,25645,120349,1993,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1994,905669,142035,636747,308219,167670,134414,26444,126886,1994,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1995,958174,144817,681482,325342,184393,144862,26885,131875,1995,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1996,1009594,150354,722128,343691,198750,152170,27518,137112,1996,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1997,1065112,161432,758575,359826,210376,160831,27541,145105,1997,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1998,1126839,176906,792527,385185,209420,168988,28933,157406,1998,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y1999,1197540,187681,846086,417594,213173,183433,31886,163772,1999,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2000,1286383,198966,919448,458493,224829,200322,35803,167969,2000,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2001,1399391,206272,1014921,502498,247686,224061,40675,178199,2001,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2002,1532426,219314,1122023,561495,265381,248014,47133,191088,2002,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2003,1664436,235648,1222281,615693,282668,268873,55048,206507,2003,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2004,1784922,248479,1320644,658832,311122,290664,60027,215798,2004,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2005,1904502,263806,1414602,701724,339762,309249,63867,226094,2005,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2006,2031359,273196,1517815,737559,403690,306576,69990,240348,2006,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2007,2157256,289916,1609716,776628,432751,325755,74581,257624,2007,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2008,2251055,294881,1696163,803020,466971,344229,81944,260011,2008,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2009,2355705,293130,1796114,832551,498872,374432,90260,266461,2009,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2010,2453664,298727,1875102,863064,519253,397230,95556,279835,2010,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2011,2538441,308519,1948166,895098,546273,406742,100053,281756,2011,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2012,2642201,317607,2019609,925133,569513,422732,102231,304985,2012,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2013,2724539,325130,2086283,944901,590383,445403,105596,313126,2013,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2014,2878382,329652,2228203,999990,618452,497154,112607,320527,2014,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Historical,Y2015,3050825,338150,2384525,1072056,646243,545132,121094,328150,2015,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2016,3200117,350399,2508547,1135391,678599,565536,129022,341170,2016,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2017,3375400,365833,2651999,1208759,718688,586488,138064,357568,2017,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2018,3574199,382710,2816518,1280433,767884,621769,146432,374971,2018,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2019,3784898,401178,2990138,1351341,824902,658128,155767,393582,2019,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2020,4006239,424294,3168779,1415975,890544,696690,165571,413167,2020,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2021,4240750,446248,3360631,1488618,958788,737116,176110,433871,2021,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2022,4488152,468672,3564480,1564938,1033237,779740,186564,455000,2022,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2023,4748385,491957,3779592,1643909,1113920,824889,196874,476836,2023,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2024,5018598,516613,4002451,1725936,1196080,873202,207232,499533,2024,,,,,,,,,,,,,
Health Consumption Expenditures,2/15/2017,Projected,Y2025,5299864,542316,4234062,1809094,1277834,929036,218098,523485,2025,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1960,23263,12949,6634,4960,0,0,1674,3680,1960,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1961,24755,13357,7293,5537,0,0,1756,4105,1961,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1962,26665,14255,7967,6158,0,0,1809,4442,1962,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1963,29076,15311,8828,6901,0,0,1927,4937,1963,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1964,32039,16928,9806,7901,0,0,1906,5305,1964,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1965,34720,18209,10655,8717,0,0,1937,5857,1965,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1966,38426,18594,14046,8854,1722,1252,2218,5786,1966,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1967,43500,18537,19388,9063,4731,3019,2575,5576,1967,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1968,49128,20500,22277,10194,5931,3385,2768,6351,1968,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1969,55510,22601,25683,12008,6735,3984,2957,7227,1969,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1970,63059,24953,29650,14065,7276,5039,3270,8455,1970,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1971,69437,26312,33986,15828,8036,6411,3711,9140,1971,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1972,77162,28646,38795,17727,8851,7973,4244,9721,1972,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1973,86152,31625,43827,19804,10182,9013,4829,10700,1973,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1974,98784,34373,52109,23455,12748,10590,5316,12302,1974,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1975,113217,37262,62097,27740,15610,12839,5907,13858,1975,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1976,129312,40647,73055,33120,18815,14429,6691,15610,1976,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1977,146674,44853,84590,38936,22136,16520,6998,17230,1977,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1978,164236,48016,96526,44606,25666,18406,7848,19694,1978,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1979,187128,52312,112238,52756,29900,21134,8449,22578,1979,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1980,216977,58146,132100,61541,36260,24697,9602,26730,1980,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1981,251789,65355,155573,72565,43457,28795,10756,30861,1981,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1982,283073,72450,176377,82944,51060,30418,11955,34247,1982,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1983,311677,78619,196099,91841,58116,33486,12656,36959,1983,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1984,341645,86500,215287,100727,64599,36181,13780,39858,1984,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1985,376376,95640,235725,112102,69795,38761,15067,45011,1985,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1986,408840,103610,253956,119895,74769,43019,16274,51274,1986,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1987,447696,109652,281361,135398,80951,47719,17292,56684,1987,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1988,498497,120217,314143,157314,86404,52173,18252,64137,1988,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1989,550414,126651,355504,179344,98277,58651,19232,68259,1989,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1990,615326,137882,402936,204788,107266,69693,21188,74508,1990,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1991,675896,140815,455028,225629,117273,88921,23205,80052,1991,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1992,731455,143178,503335,243563,132368,103417,23987,84941,1992,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1993,778684,144098,545446,257360,146235,116453,25398,89140,1993,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1994,820172,142035,586202,269745,163430,126856,26170,91936,1994,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1995,869578,144817,629442,286726,179858,136250,26607,95320,1995,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1996,917540,150354,668168,302846,193573,144510,27239,99017,1996,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1997,969531,161432,703031,320254,204204,151334,27239,105068,1997,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1998,1026103,176906,734213,344824,202559,158293,28537,114984,1998,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y1999,1086280,187681,780209,371661,206035,171259,31255,118390,1999,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2000,1162035,198966,844196,406087,216333,186920,34856,118874,2000,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2001,1261944,206272,932205,445321,239111,208405,39369,123467,2001,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2002,1367628,219314,1019982,488146,256551,230060,45226,128332,2002,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2003,1477697,235648,1103253,527140,274001,249418,52695,138795,2003,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2004,1587994,248479,1193089,565066,300096,270729,57198,146426,2004,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2005,1696222,263806,1279211,604865,326278,287552,60518,153204,2005,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2006,1804672,273196,1368081,636230,382297,283306,66248,163395,2006,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2007,1918820,289916,1452128,671795,408710,301114,70508,176776,2007,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2008,2010690,294881,1538597,700983,442014,317858,77742,177212,2008,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2009,2114221,293130,1636657,734424,470329,346200,85704,184434,2009,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2010,2194625,298727,1699295,754768,488535,365756,90235,196603,2010,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2011,2272582,308519,1766100,784092,513520,373888,94601,197962,2011,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2012,2365948,317607,1833118,812489,535105,388450,97073,215223,2012,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2013,2435624,325130,1891021,829293,555120,406423,100185,219473,2013,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2014,2562824,329652,2009446,875154,580583,446703,107006,223726,2014,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Historical,Y2015,2717230,338150,2151242,944686,605024,486457,115076,227838,2015,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2016,2856264,350399,2267265,1003107,633998,507231,122927,238601,2016,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2017,3008109,365833,2391266,1060272,670405,529451,131138,251011,2017,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2018,3178725,382710,2532130,1122207,715967,555032,138924,263885,2018,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2019,3365907,401178,2687152,1184390,768552,586587,147623,277577,2019,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2020,3563686,424294,2847356,1240609,829864,620123,156760,292036,2020,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2021,3773117,446248,3019444,1304340,893258,655303,166542,307425,2021,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2022,3993619,468672,3201836,1371054,962238,692365,176179,323112,2022,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2023,4225545,491957,3394221,1440075,1036947,731594,185605,339368,2023,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2024,4466304,516613,3593308,1511774,1112952,773586,194996,356383,2024,,,,,,,,,,,,,
Personal Health Care,2/15/2017,Projected,Y2025,4716626,542316,3800244,1584447,1188540,822452,204804,374066,2025,,,,,,,,,,,,,
